country,year,canonical_name,current_status,manual_classification,trace_quality,source_file,page_number,trace_method,line_description_en,amount_local,currency,unit,evidence_summary,recommended_action
Turkey,2006,TÜBA (Turkey),kept_in_final_series,verified_exact_table_row,A,2006 tbmm22103031ss1028.pdf,132,table_row_aligned,2006 budget proposal TABLO 2-b — special-budget other administrations audited manually,4641000.0,YTL,lira,Original budget table row reconstructed from audited agency-name and amount alignment on the cited page.,keep_final
Turkey,2006,TÜBİTAK (Turkey),kept_in_final_series,verified_exact_table_row,A,2006 tbmm22103031ss1028.pdf,132,table_row_aligned,2006 budget proposal TABLO 2-b — special-budget other administrations audited manually,965158000.0,YTL,lira,Original budget table row reconstructed from audited agency-name and amount alignment on the cited page.,keep_final
Turkey,2007,KOSGEB (Turkey),kept_in_final_series,verified_multiyear_table_row,A,2009-ButceGerekcesi_2009.pdf,89,table_row_multiyear,2009 budget-justification multi-year table — audited annual column,221968000.0,YTL,lira,Original multi-year budget table on the cited page contains the agency row and the retained annual column value.,keep_final
Turkey,2007,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),kept_in_final_series,verified_multiyear_table_row,A,2009-ButceGerekcesi_2009.pdf,89,table_row_multiyear,2009 budget-justification multi-year table — audited annual column,65075000.0,YTL,lira,Original multi-year budget table on the cited page contains the agency row and the retained annual column value.,keep_final
Turkey,2007,TÜBA (Turkey),kept_in_final_series,verified_multiyear_table_row,A,2009-ButceGerekcesi_2009.pdf,89,table_row_multiyear,2009 budget-justification multi-year table — audited annual column,6275000.0,YTL,lira,Original multi-year budget table on the cited page contains the agency row and the retained annual column value.,keep_final
Turkey,2007,TÜBİTAK (Turkey),kept_in_final_series,verified_multiyear_table_row,A,2009-ButceGerekcesi_2009.pdf,89,table_row_multiyear,2009 budget-justification multi-year table — audited annual column,938335000.0,YTL,lira,Original multi-year budget table on the cited page contains the agency row and the retained annual column value.,keep_final
Turkey,2008,KOSGEB (Turkey),kept_in_final_series,verified_multiyear_table_row,A,2009-ButceGerekcesi_2009.pdf,89,table_row_multiyear,2009 budget-justification multi-year table — audited annual column,222368000.0,YTL,lira,Original multi-year budget table on the cited page contains the agency row and the retained annual column value.,keep_final
Turkey,2008,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),kept_in_final_series,verified_multiyear_table_row,A,2009-ButceGerekcesi_2009.pdf,89,table_row_multiyear,2009 budget-justification multi-year table — audited annual column,65139000.0,YTL,lira,Original multi-year budget table on the cited page contains the agency row and the retained annual column value.,keep_final
Turkey,2008,TÜBA (Turkey),kept_in_final_series,verified_multiyear_table_row,A,2009-ButceGerekcesi_2009.pdf,89,table_row_multiyear,2009 budget-justification multi-year table — audited annual column,6575000.0,YTL,lira,Original multi-year budget table on the cited page contains the agency row and the retained annual column value.,keep_final
Turkey,2008,TÜBİTAK (Turkey),kept_in_final_series,verified_multiyear_table_row,A,2009-ButceGerekcesi_2009.pdf,89,table_row_multiyear,2009 budget-justification multi-year table — audited annual column,1005923000.0,YTL,lira,Original multi-year budget table on the cited page contains the agency row and the retained annual column value.,keep_final
Turkey,2009,KOSGEB (Turkey),kept_in_final_series,verified_multiyear_table_row,A,2009-ButceGerekcesi_2009.pdf,89,table_row_multiyear,2009 budget-justification multi-year table — audited annual column,329330000.0,TRY,lira,Original multi-year budget table on the cited page contains the agency row and the retained annual column value.,keep_final
Turkey,2009,TAEK — Türkiye Atom Enerjisi Kurumu (Turkey),kept_in_final_series,verified_multiyear_table_row,A,2009-ButceGerekcesi_2009.pdf,89,table_row_multiyear,2009 budget-justification multi-year table — audited annual column,82169000.0,TRY,lira,Original multi-year budget table on the cited page contains the agency row and the retained annual column value.,keep_final
Turkey,2009,TÜBA (Turkey),kept_in_final_series,verified_multiyear_table_row,A,2009-ButceGerekcesi_2009.pdf,89,table_row_multiyear,2009 budget-justification multi-year table — audited annual column,7997000.0,TRY,lira,Original multi-year budget table on the cited page contains the agency row and the retained annual column value.,keep_final
Turkey,2009,TÜBİTAK (Turkey),kept_in_final_series,verified_multiyear_table_row,A,2009-ButceGerekcesi_2009.pdf,89,table_row_multiyear,2009 budget-justification multi-year table — audited annual column,1127085000.0,TRY,lira,Original multi-year budget table on the cited page contains the agency row and the retained annual column value.,keep_final
