canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Research Vessel,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2004, 2004)",This program is likely related to research activities at sea.,rd_programme,0.7,1.30 Rannsóknaskip,1,387600.0,confidence below threshold,Iceland
Contribution from Happdrettis to the University of Iceland,higher_education,[],"['section_total', 'program_total', 'line_item']","(2002, 2002)",This funding supports research activities at the University of Iceland.,rd_fund,0.7,Framlag Happdrettis HI til Háskóla Íslands,1,325000.0,confidence below threshold,Iceland
Allocated to the University of Iceland,higher_education,[],"['section_total', 'program_total', 'line_item']","(2004, 2004)",This allocation supports research activities at the University of Iceland.,rd_fund,0.7,Ráðstafað til Háskóla Íslands.,1,290000.0,confidence below threshold,Iceland
Operational Funding Increase for the University of Iceland,higher_education,[],"['section_total', 'program_total', 'line_item']","(1985, 1985)",This increase in operational funding may support research activities at the university.,rd_fund,0.6,Rekstrarfjárveiting til Háskóla Íslands hækkar um 29.476 Þús. kr. og verður 278.236 þús. kr.,1,278236.0,confidence below threshold,Iceland
Nature Institutes,science_agency,[],"['section_total', 'program_total', 'line_item']","(2020, 2023)",These institutes are dedicated to research in natural sciences.,dedicated_rd_agency,0.7,Náttúrustofur,2,213500.0,confidence below threshold,Iceland
Research Activities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2002, 2002)",This refers to various research activities.,rd_programme,0.65,Ranns6knastarfsemi,1,107300.0,confidence below threshold,Iceland
"Energy Matters, Research and Various Projects",direct_rd,[],"['section_total', 'program_total', 'line_item']","(2019, 2020)",This program focuses on energy-related research.,rd_programme,0.7,"Orkumál, rannsóknir og ýmis verkefni",2,100950.0,confidence below threshold,Iceland
Special Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2001, 2001)",This program supports specialized research initiatives.,rd_programme,0.65,Sérstakar rannsóknir,1,100000.0,confidence below threshold,Iceland
Funding for Technology Development,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2023, 2023)",This fund is aimed at technology development.,rd_fund,0.7,Framlög til tækniþróunar,1,96600.0,confidence below threshold,Iceland
Research and Development in Information Technology and Environmental Issues,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2002, 2002)",This program focuses on IT and environmental research.,rd_programme,0.6,Ranns6knir og proun i upplfsingateknni og umhverfismálum,1,95000.0,confidence below threshold,Iceland
Research and Development in Information Technology and Environmental Issues,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2001, 2001)",This program focuses on IT and environmental research.,rd_programme,0.6,Rannsoknir og préun i upplysingateekni og umhverfismélum,1,95000.0,confidence below threshold,Iceland
Research and Eradication of Mink,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2007, 2007)","This involves research efforts, making it relevant to R&D.",rd_programme,0.7,Rannsóknir og útrýming á mink,1,48300.0,confidence below threshold,Iceland
Research Committee on Maritime Accidents,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2006, 2006)",This committee is focused on research related to maritime safety.,rd_programme,0.7,Rannsóknanefnd sjóslysa,1,35400.0,confidence below threshold,Iceland
International Collaboration Plans in Science,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2008, 2022)",This involves international collaboration in scientific research.,rd_programme,0.7,Alþjóðlegar samstarfsáætlanir á sviði vísinda,5,35206.68,confidence below threshold,Iceland
Research in Women's Studies,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1987, 1988)",Promotes research in women's studies.,rd_programme,0.65,Rannsóknir í kvennafræðum,2,27972.0,confidence below threshold,Iceland
MAST / Antibiotic Resistance Prevention,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2022, 2022)",Focuses on research related to antibiotic resistance.,rd_programme,0.7,MAST / Varnir gegn sýklalyfjaónæmi,1,26000.0,confidence below threshold,Iceland
Agreement on Support for Construction Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2022, 2022)",Supports research in construction.,rd_programme,0.6,Samningur um stuðning við byggingarannsóknir,1,26000.0,confidence below threshold,Iceland
Scientific Activities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2008, 2015)",Supports a range of scientific activities and research.,rd_programme,0.7,Vísindastarfsemi,4,25325.0,confidence below threshold,Iceland
Research in Energy Generation,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2001, 2001)",Supports research in energy generation.,rd_programme,0.65,Virkjanarannsoknir,1,25000.0,confidence below threshold,Iceland
Research on Geothermal Energy,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2001, 2001)",Focuses on research related to geothermal energy.,rd_programme,0.7,Rannsóknir á jarðvarma,1,25000.0,confidence below threshold,Iceland
Research Student Fund,higher_education,[],"['section_total', 'program_total', 'line_item']","(1998, 1998)",Provides funding for research students.,rd_fund,0.6,Rannsóknarnemssjóður,1,25000.0,confidence below threshold,Iceland
Research in Forestry for Agriculture,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2013, 2014)",Supports forestry research relevant to agriculture.,rd_programme,0.65,Rannsóknir í skógrækt í þágu landbúnaðar,2,23800.0,confidence below threshold,Iceland
Department of Fish Disease Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1993, 1993)","This department conducts research on fish diseases, relevant to R&D.",rd_programme,0.7,Rannsóknadeild fisksjikdóma,1,22800.0,confidence below threshold,Iceland
Department of Fish Disease Research (variant),direct_rd,[],"['section_total', 'program_total', 'line_item']","(2001, 2001)","This is another variant of the fish disease research department, relevant to R&D.",rd_programme,0.7,Rannsóknadeild fisksjikd6ma,1,20400.0,confidence below threshold,Iceland
For New Research Projects,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1978, 1981)","This entity is aimed at funding new research projects, indicating R&D relevance.",rd_programme,0.7,Til nýrra rannsóknarverkefna,3,18342.0,confidence below threshold,Iceland
Contribution to Research,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2000, 2000)","This entity provides contributions specifically for research, indicating R&D relevance.",rd_fund,0.7,Framlag til rannsóknar,1,18000.0,confidence below threshold,Iceland
Research in Sciences,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1988, 1999)",Supports various scientific research initiatives.,rd_programme,0.7,Rannsóknir í vísindum,2,17360.0,confidence below threshold,Iceland
New Industry Research,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1985, 1986)","This entity focuses on research in new industries, indicating R&D relevance.",rd_programme,0.7,Nýiðnaðarrannsóknir,2,16734.0,confidence below threshold,Iceland
Utilization of Domestic Energy Resources,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2004, 2004)","This entity is focused on research related to energy resources, indicating R&D relevance.",rd_programme,0.65,Nýting innlendra orkulinda,1,16500.0,confidence below threshold,Iceland
Klak Innovit / Pursuit of Outstanding Startups,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2024, 2024)","This entity supports outstanding startups, which often involve R&D activities.",innovation_instruments,0.7,Klak Innovit / Sókn framúrskarandi sprotafyrirtækja,1,15000.0,confidence below threshold,Iceland
Klak Innovit / Activities of Entrepreneurs and Startups,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2024, 2024)","This entity supports entrepreneurs and startups, which often involve R&D activities.",innovation_instruments,0.7,Klak Innovit / Starfsemi frumkvöðla og sprotafyrirt.,1,15000.0,confidence below threshold,Iceland
Department of Natural Sciences,higher_education,[],"['section_total', 'program_total', 'line_item']","(1986, 1986)","This entity is part of higher education, which often includes R&D activities.",higher_education,0.6,Raunvísindadeild,1,15000.0,confidence below threshold,Iceland
"Icelandic Startups, Entrepreneurs and Startups",innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2022, 2022)","This entity supports startups and entrepreneurs, which often involve R&D activities.",innovation_instruments,0.7,"Icelandic startups, frumkvöðlar og sprotafyrirtæki",1,15000.0,confidence below threshold,Iceland
Special Project Related to Fish Farming,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1989, 1989)",This project is related to research in aquaculture.,rd_programme,0.7,Sérverkefnitengt fiskeldi,1,11780.0,confidence below threshold,Iceland
Utilization of Geothermal Heat for Electricity Generation,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)",This project involves research on geothermal energy.,rd_programme,0.65,Virkjun jardhita til raforkuvinnslu,1,11100.0,confidence below threshold,Iceland
Special Research Projects in Land Restoration,science_agency,[],"['section_total', 'program_total', 'line_item']","(1992, 1992)",This entity is involved in research related to land restoration.,rd_programme,0.7,Sérstök rannsóknarverkefni í landgræðslu,1,10900.0,confidence below threshold,Iceland
Funding for the National Research Council,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1985, 1985)",This funding supports research activities in various fields.,rd_fund,0.7,Fjárveiting til Rannsóknaráðs ríkisins nemur 5.819 þús. kr.,1,5819.0,confidence below threshold,Iceland
Research and Development Activities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1993, 1993)","This entity is focused on R&D activities, indicating relevance.",rd_programme,0.7,Rannsóknir og próunastarfssemi,1,4300.0,confidence below threshold,Iceland
Research and Analysis,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2005, 2005)","This entity involves research and analysis, indicating R&D relevance.",rd_programme,0.65,Rannsóknir og greining,1,4000.0,confidence below threshold,Iceland
Research and Development Activities,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1989, 1989)","This entity is focused on R&D activities, indicating relevance.",rd_programme,0.7,Ranns6knir og prounarstarfsemi,1,3650.0,confidence below threshold,Iceland
Construction of a Marine Research Vessel,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2022, 2022)","This entity is related to the construction of a research vessel, relevant for R&D.",rd_programme,0.7,Bygging hafrannsóknaskips,1,2000.0,confidence below threshold,Iceland
"BioPol Ltd., Research on Skates",direct_rd,[],"['section_total', 'program_total', 'line_item']","(2011, 2011)","This entity focuses on research related to skates, indicating R&D relevance.",rd_programme,0.7,"BioPol ehf., rannsóknir á skötusel",1,2000.0,confidence below threshold,Iceland
Research in Women's Diseases,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1990, 1990)","This entity focuses on research in women's health, indicating R&D relevance.",rd_programme,0.7,Rannsóknir í kvensjúkdómum,1,1350.0,confidence below threshold,Iceland
