year,canonical_name,amount_local,unit,currency,source_file,line_description_en,traceability_status,concern
2018,INM (Instituto Nacional de Metrología),12244605034.0,unit,COP,pdf_13b9ce28bd17__2018_Ley_1873_de_2017.txt,SECCION: 3505 INSTITUTO NACIONAL DE METROLOGÍA - INM A. PRESUPUESTO DE FUNCIONAMIENTO,verified_strong,
2019,INM (Instituto Nacional de Metrología),26498854982.0,unit,COP,pdf_35ed8a7d97b1__2019_Decreto_2467_Anexo.txt,INSTITUTO NACIONAL DE METROLOGIA - INM,verified_strong,
2020,INM (Instituto Nacional de Metrología),31025897915.0,unit,COP,pdf_d0ec99f3fab8__2020_Decreto_2411_Anexo.txt,INSTITUTO NACIONAL DE METROLOGIA - INM,verified_strong,
2021,INM (Instituto Nacional de Metrología),17523459000.0,unit,COP,pdf_a8096ec407ac__2021_Decreto_1805.txt,INSTITUTO NACIONAL DE METROLOGIA - INM,verified_strong,
2022,INM (Instituto Nacional de Metrología),36532440712.0,unit,COP,pdf_7bed68a91292__2022_Decreto_1793.txt,INSTITUTO NACIONAL DE METROLOGIA - INM,verified_strong,
2023,INM (Instituto Nacional de Metrología),38891426173.0,unit,COP,pdf_762d2b56700a__2023_Decreto_2590.txt,INSTITUTO NACIONAL DE METROLOGIA - INM,verified_strong,
2024,INM (Instituto Nacional de Metrología),41201998865.0,unit,COP,pdf_2f2a18b50fc2__2024_Decreto_2295.txt,INSTITUTO NACIONAL DE METROLOGIA - INM,verified_strong,
2004,Instituto Nacional de Salud (Colombia),8907500000.0,unit,COP,pdf_70cd4b33da92__2004_Ley_848_de_2003.txt,SECCION: 3606 INSTITUTO NACIONAL DE SALUD (INS) A. PRESUPUESTO DE FUNCIONAMIENTO,verified_strong,
2005,Instituto Nacional de Salud (Colombia),10534000000.0,unit,COP,pdf_99bcb6e78208__2005_Ley_921_de_2004.txt,SECCION: 3606 INSTITUTO NACIONAL DE SALUD (INS) A. PRESUPUESTO DE FUNCIONAMIENTO.,verified_strong,
2012,Instituto Nacional de Salud (Colombia),2288700000.0,unit,COP,pdf_a443d53f4799__2012_Ley_1485_de_2011.txt,INSTITUTO NACIONAL DE SALUD (INS) A-INGRESOS CORRIENTES,verified_strong,
2014,Instituto Nacional de Salud (Colombia),3990724000.0,unit,COP,pdf_67c36bc2d740__2014_Ley_1687_de_2013.txt,INSTITUTO NACIONAL DE SALUD (INS),verified_component_sum,"Recovered from explicit component amounts in original text; traceable, but not always labelled TOTAL PRESUPUESTO."
2016,Instituto Nacional de Salud (Colombia),4290271000.0,unit,COP,pdf_bedb3db21394__2016_Decreto_2550.txt,INSTITUTO NACIONAL DE SALUD (INS),verified_component_sum,"Recovered from explicit component amounts in original text; traceable, but not always labelled TOTAL PRESUPUESTO."
2017,Instituto Nacional de Salud (Colombia),4725627850.0,unit,COP,pdf_06b0f6e19814__2017_Decreto_2170.txt,INSTITUTO NACIONAL DE SALUD (INS),verified_component_sum,"Recovered from explicit component amounts in original text; traceable, but not always labelled TOTAL PRESUPUESTO."
2018,Instituto Nacional de Salud (Colombia),33804038000.0,unit,COP,pdf_13b9ce28bd17__2018_Ley_1873_de_2017.txt,SECCION: 1903 INSTITUTO NACIONAL DE SALUD (INS) A. PRESUPUESTO DE FUNCIONAMIENTO,verified_strong,
2019,Instituto Nacional de Salud (Colombia),63433976618.0,unit,COP,pdf_35ed8a7d97b1__2019_Decreto_2467_Anexo.txt,INSTITUTO NACIONAL DE SALUD (INS),verified_strong,
2020,Instituto Nacional de Salud (Colombia),63162530669.0,unit,COP,pdf_d0ec99f3fab8__2020_Decreto_2411_Anexo.txt,INSTITUTO NACIONAL DE SALUD (INS),verified_strong,
2021,Instituto Nacional de Salud (Colombia),40626242000.0,unit,COP,pdf_a8096ec407ac__2021_Decreto_1805.txt,INSTITUTO NACIONAL DE SALUD (INS),verified_strong,
2023,Instituto Nacional de Salud (Colombia),108135365626.0,unit,COP,pdf_762d2b56700a__2023_Decreto_2590.txt,INSTITUTO NACIONAL DE SALUD (INS),verified_strong,
2024,Instituto Nacional de Salud (Colombia),119702741897.0,unit,COP,pdf_2f2a18b50fc2__2024_Decreto_2295.txt,INSTITUTO NACIONAL DE SALUD (INS),verified_strong,
2019,"MinCiencias (Ministerio de Ciencia, Tecnología e Innovación)",356680983876.0,unit,COP,pdf_35ed8a7d97b1__2019_Decreto_2467_Anexo.txt,"MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION",verified_strong,
2020,"MinCiencias (Ministerio de Ciencia, Tecnología e Innovación)",392362614395.0,unit,COP,pdf_d0ec99f3fab8__2020_Decreto_2411_Anexo.txt,"MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION",verified_strong,
2021,"MinCiencias (Ministerio de Ciencia, Tecnología e Innovación)",410851071887.0,unit,COP,pdf_a8096ec407ac__2021_Decreto_1805.txt,"MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION",verified_strong,
2022,"MinCiencias (Ministerio de Ciencia, Tecnología e Innovación)",330519243272.0,unit,COP,pdf_7bed68a91292__2022_Decreto_1793.txt,"MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION",verified_strong,
2023,"MinCiencias (Ministerio de Ciencia, Tecnología e Innovación)",399960584962.0,unit,COP,pdf_762d2b56700a__2023_Decreto_2590.txt,"MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION",verified_strong,
2024,"MinCiencias (Ministerio de Ciencia, Tecnología e Innovación)",397675451073.0,unit,COP,pdf_2f2a18b50fc2__2024_Decreto_2295.txt,"MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION",verified_strong,
2025,"MinCiencias (Ministerio de Ciencia, Tecnología e Innovación)",266987639124.0,unit,COP,pdf_722896feb631__2025_Decreto_1523.txt,"MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION",verified_strong,
2018,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),203000000000.0,unit,COP,pdf_13b9ce28bd17__2018_Ley_1873_de_2017.txt,"FOMENTO DE LA INVESTIGACIÓN, DESARROLLO TECNOLÓGICO E INNOVACIÓN DEL SECTOR TRABAJO",verified_strong,
