year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_excerpt,series_notes
1996,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland source audit: zero/near-zero survivor is not a defensible annual appropriation
1997,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,Polish annual contribution to CERN. Appears under MNiSW or international cooperation budget lines.; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
1997,KBN (Komitet Badań Naukowych),science_agency,,,,,,,,,,covered_by_final_series,,"State Committee for Scientific Research, 1991-2005. Key R&D body before creation of MNiSW and NCBiR.; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel"
1997,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
1998,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1998,KBN (Komitet Badań Naukowych),science_agency,,,,,,,,,,covered_by_final_series,,"State Committee for Scientific Research, 1991-2005. Key R&D body before creation of MNiSW and NCBiR.; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel"
1998,PAN (Polska Akademia Nauk),science_agency,42692000.0,zloty,PLN,section_total,1998 text.pdf,55.0,Data/input/finance_bills/Poland/1998 text.pdf,,Total expenditures,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row
1999,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1999,KBN (Komitet Badań Naukowych),science_agency,2742811000.0,zloty,PLN,verified_override,1999 D1999017015402.pdf,41.0,Data/input/finance_bills/Poland/1999 D1999017015402.pdf,,Research and development activities (main KBN budget section),verified_against_original_file,,"State Committee for Scientific Research, 1991-2005. Key R&D body before creation of MNiSW and NCBiR.; overridden after Poland source audit with exact main budget-section appropriation"
1999,PAN (Polska Akademia Nauk),science_agency,120061000.0,zloty,PLN,line_item,1999 D1999017015402.pdf,111.0,Data/input/finance_bills/Poland/1999 D1999017015402.pdf,,budget grant for PAN,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row
2008,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2008,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,,,,,,,,,,covered_by_final_series,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2008,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2010,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2010,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,,,,,,,,,,covered_by_final_series,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2010,PAN (Polska Akademia Nauk),science_agency,54468000.0,zloty,PLN,section_total,2010 text.pdf,57.0,Data/input/finance_bills/Poland/2010 text.pdf,,Total expenditures,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row
2011,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2011,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,,,,,,,,,,covered_by_final_series,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2011,NCN (Narodowe Centrum Nauki),science_agency,279965000.0,zloty,PLN,program_total,2011 text.pdf,196.0,Data/input/finance_bills/Poland/2011 text.pdf,,National Science Centre,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row"
2011,PAN (Polska Akademia Nauk),science_agency,79924000.0,zloty,PLN,section_total,2011 text.pdf,192.0,Data/input/finance_bills/Poland/2011 text.pdf,,Total expenditures,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row
2013,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2013,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,1695208000.0,zloty,PLN,verified_override,2013 text.pdf,356.0,Data/input/finance_bills/Poland/2013 text.pdf,,"Dotacje ogółem (financial plan, cash basis)",verified_against_original_file,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; dropped after Poland source audit: zero/near-zero survivor is not a defensible annual appropriation; overridden after Poland source audit with exact financial-plan appropriation
2013,NCN (Narodowe Centrum Nauki),science_agency,899993000.0,zloty,PLN,program_total,2013 text.pdf,354.0,Data/input/finance_bills/Poland/2013 text.pdf,,Financial plan of the National Science Centre,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row"
2013,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2014,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,Polish annual contribution to CERN. Appears under MNiSW or international cooperation budget lines.; dropped after Poland source audit: still traceability-weak or organizationally ambiguous for a real final series
2014,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,1788873000.0,zloty,PLN,program_total,2014 text.pdf,296.0,Data/input/finance_bills/Poland/2014 text.pdf,,Financial plan of the National Centre for Research and Development,covered_by_final_series,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row
2014,NCN (Narodowe Centrum Nauki),science_agency,,,,,,,,,,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel"
2014,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,"Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland source audit: source page belongs to a generic grant block or another agency, not a defensible PAN appropriation"
2014,Regional Initiative of Excellence,innovation_instruments,,,,,,,,,,covered_by_final_series,,This initiative aims to enhance research excellence in specific regions.; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2015,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2015,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,1319954000.0,zloty,PLN,line_item,2015 text.pdf,48.0,Data/input/finance_bills/Poland/2015 text.pdf,,National Centre for Research and Development,covered_by_final_series,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; dropped after Poland source audit: synthetic placeholder/summary value not supported by the original budget page; recovered from Poland source-audited row
2015,NCN (Narodowe Centrum Nauki),science_agency,976452000.0,zloty,PLN,line_item,2015 text.pdf,262.0,Data/input/finance_bills/Poland/2015 text.pdf,,National Science Centre,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; dropped after Poland source audit: synthetic placeholder/summary value not supported by the original budget page; recovered from Poland source-audited row"
2015,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,"Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; dropped after Poland source audit: synthetic placeholder/summary value not supported by the original budget page; recovered from Poland source-audited row; dropped after Poland source audit: source page belongs to a generic grant block or another agency, not a defensible PAN appropriation"
2015,Regional Initiative of Excellence,innovation_instruments,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2016,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2016,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,496114000.0,zloty,PLN,program_total,2016 D2016000027802.pdf,260.0,Data/input/finance_bills/Poland/2016 D2016000027802.pdf,,National Centre for Research and Development,covered_by_final_series,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; dropped after Poland source audit: synthetic placeholder/summary value not supported by the original budget page; recovered from Poland source-audited row
2016,NCN (Narodowe Centrum Nauki),science_agency,,,,,,,,,,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; dropped after Poland source audit: synthetic placeholder/summary value not supported by the original budget page; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel"
2016,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland source audit: exceeds plausible institutional ceiling and behaves like a summary/placeholder row
2016,Regional Initiative of Excellence,innovation_instruments,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2017,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2017,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,2344421000.0,zloty,PLN,program_total,2017 text.pdf,259.0,Data/input/finance_bills/Poland/2017 text.pdf,,National Centre for Research and Development,covered_by_final_series,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row
2017,NCN (Narodowe Centrum Nauki),science_agency,1192559000.0,zloty,PLN,program_total,2017 text.pdf,49.0,Data/input/finance_bills/Poland/2017 text.pdf,,National Science Centre,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; dropped after Poland source audit: synthetic placeholder/summary value not supported by the original budget page; recovered from Poland source-audited row"
2017,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,"Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; dropped after Poland source audit: synthetic placeholder/summary value not supported by the original budget page; recovered from Poland source-audited row; dropped after Poland source audit: source page belongs to a generic grant block or another agency, not a defensible PAN appropriation"
2017,Regional Initiative of Excellence,innovation_instruments,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2018,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2018,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,,,,,,,,,,covered_by_final_series,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2018,NCN (Narodowe Centrum Nauki),science_agency,,,,,,,,,,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel"
2018,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; dropped after Poland source audit: synthetic placeholder/summary value not supported by the original budget page; recovered from Poland source-audited row; dropped after Poland source audit: still traceability-weak or organizationally ambiguous for a real final series
2018,Regional Initiative of Excellence,innovation_instruments,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2019,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2019,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,1408735000.0,zloty,PLN,verified_override,2019 text.pdf,312.0,Data/input/finance_bills/Poland/2019 text.pdf,,"Dotacje ogółem (financial plan, cash basis)",verified_against_original_file,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; overridden after Poland source audit with exact financial-plan appropriation
2019,NCN (Narodowe Centrum Nauki),science_agency,,,,,,,,,,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel"
2019,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,"Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland source audit: source page belongs to a generic grant block or another agency, not a defensible PAN appropriation"
2019,Regional Initiative of Excellence,innovation_instruments,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2020,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2020,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,1332715000.0,zloty,PLN,verified_override,2020 text.pdf,292.0,Data/input/finance_bills/Poland/2020 text.pdf,,"Dotacje ogółem (financial plan, cash basis)",verified_against_original_file,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; overridden after Poland source audit with exact financial-plan appropriation
2020,NCN (Narodowe Centrum Nauki),science_agency,,,,,,,,,,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel"
2020,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,"Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland source audit: source page belongs to a generic grant block or another agency, not a defensible PAN appropriation"
2020,Regional Initiative of Excellence,innovation_instruments,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2021,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2021,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,,,,,,,,,,covered_by_final_series,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2021,NCN (Narodowe Centrum Nauki),science_agency,,,,,,,,,,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel"
2021,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,"Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland source audit: source page belongs to a generic grant block or another agency, not a defensible PAN appropriation"
2021,Polish Space Agency Activities,science_agency,,,,,,,,,,covered_by_final_series,,Involves R&D in space science and technology.; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2021,Regional Initiative of Excellence,innovation_instruments,,,,,,,,,,covered_by_final_series,,This initiative aims to enhance research excellence in specific regions.; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2021,Łukasiewicz Research Network,innovation_instruments,,,,,,,,,,covered_by_final_series,,"A dedicated research network focused on innovation and R&D.; dropped after Poland source audit: Łukasiewicz survivors mix a network-wide activity row (2021) with centre-only or centre-plus-institutes rows (2023-2024), so the level is not comparable enough for the final panel"
2022,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2022,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,,,,,,,,,,covered_by_final_series,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2022,NCN (Narodowe Centrum Nauki),science_agency,,,,,,,,,,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel"
2022,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2022,Polish Space Agency Activities,science_agency,,,,,,,,,,covered_by_final_series,,Involves R&D in space science and technology.; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2022,Regional Initiative of Excellence,innovation_instruments,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2022,Łukasiewicz Research Network,innovation_instruments,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2023,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2023,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,935222000.0,zloty,PLN,program_total,2023 text.pdf,49.0,Data/input/finance_bills/Poland/2023 text.pdf,,Activities of the National Centre for Research and Development,covered_by_final_series,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row
2023,NCN (Narodowe Centrum Nauki),science_agency,1436577000.0,zloty,PLN,program_total,2023 text.pdf,49.0,Data/input/finance_bills/Poland/2023 text.pdf,,Activities of the National Science Centre,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row"
2023,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2023,Polish Space Agency Activities,science_agency,,,,,,,,,,covered_by_final_series,,Involves R&D in space science and technology.; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2023,Regional Initiative of Excellence,innovation_instruments,,,,,,,,,,covered_by_final_series,,This initiative aims to enhance research excellence in specific regions.; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2023,Łukasiewicz Research Network,innovation_instruments,,,,,,,,,,covered_by_final_series,,"A dedicated research network focused on innovation and R&D.; dropped after Poland source audit: Łukasiewicz survivors mix a network-wide activity row (2021) with centre-only or centre-plus-institutes rows (2023-2024), so the level is not comparable enough for the final panel"
2024,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2024,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,,,,,,,,,,covered_by_final_series,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2024,NCN (Narodowe Centrum Nauki),science_agency,,,,,,,,,,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel"
2024,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland source audit: zero/near-zero survivor is not a defensible annual appropriation
2024,Polish Space Agency Activities,science_agency,20773000.0,zloty,PLN,line_item,2024 text.pdf,48.0,Data/input/finance_bills/Poland/2024 text.pdf,,Activities of the Polish Space Agency,covered_by_final_series,,Involves R&D in space science and technology.
2024,Regional Initiative of Excellence,innovation_instruments,,,,,,,,,,covered_by_final_series,,This initiative aims to enhance research excellence in specific regions.; dropped after Poland source audit: still traceability-weak or organizationally ambiguous for a real final series
2024,Łukasiewicz Research Network,innovation_instruments,,,,,,,,,,covered_by_final_series,,"A dedicated research network focused on innovation and R&D.; dropped after Poland source audit: Łukasiewicz survivors mix a network-wide activity row (2021) with centre-only or centre-plus-institutes rows (2023-2024), so the level is not comparable enough for the final panel"
2025,CERN (Polish contribution),direct_rd,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
2025,NCBiR (Narodowe Centrum Badań i Rozwoju),science_agency,,,,,,,,,,covered_by_final_series,,Applied R&D and innovation agency created 2007. Manages EU-co-financed and national R&D programmes.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2025,NCN (Narodowe Centrum Nauki),science_agency,,,,,,,,,,covered_by_final_series,,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel"
2025,PAN (Polska Akademia Nauk),science_agency,,,,,,,,,,covered_by_final_series,,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row; dropped after Poland final manual verification: page-level trace is too weak for a strict final panel
2025,Research Reactor MARIA Modernization Program,direct_rd,91744000.0,zloty,PLN,line_item,2025 text.pdf,312.0,Data/input/finance_bills/Poland/2025 text.pdf,,Program for the modernization of the research nuclear reactor 'MARIA',covered_by_final_series,,This program focuses on the modernization of a research reactor for R&D purposes.
