country,canonical_name,year,current_status,manual_classification,source_file,page_number,evidence_summary,recommended_action
Poland,Łukasiewicz Research Network,2022,missing,documented_but_not_comparable,2022 text.pdf,249 and 551-552,"Original has both a budget listing for Centrum Łukasiewicz and Instytuty Sieci Badawczej Łukasiewicz plus a separate financial plan for Centrum Łukasiewicz, but those levels do not match the broader network-wide survivor previously kept for 2021.",keep_gap_due_to_level_mismatch
Poland,Łukasiewicz Research Network,2023,missing,documented_but_not_comparable,2023 text.pdf,245 and 546-547,"Original has a section-28 listing and a financial plan for Centrum Łukasiewicz with budget support, but this is centre-level evidence and not directly comparable with a network-wide series.",keep_gap_due_to_level_mismatch
Poland,Łukasiewicz Research Network,2024,missing,documented_but_not_comparable,2024 text.pdf,248 and 565-566,"Original again has a listing and a financial plan for Centrum Łukasiewicz; manual audit keeps the gap because the evidence is centre-level or centre-plus-institutes, not a consistent network-wide appropriation.",keep_gap_due_to_level_mismatch
Poland,Regional Initiative of Excellence,2015,missing,no_evidence_confirmed,,,"No direct manual confirmation was captured in the original during this pass; current gap should stay unless a dedicated source trace is found.",keep_gap
Poland,Regional Initiative of Excellence,2016,missing,no_evidence_confirmed,,,"No direct manual confirmation was captured in the original during this pass; current gap should stay unless a dedicated source trace is found.",keep_gap
Poland,Regional Initiative of Excellence,2017,missing,no_evidence_confirmed,,,"No direct manual confirmation was captured in the original during this pass; current gap should stay unless a dedicated source trace is found.",keep_gap
Poland,Regional Initiative of Excellence,2018,missing,no_evidence_confirmed,,,"No direct manual confirmation was captured in the original during this pass; current gap should stay unless a dedicated source trace is found.",keep_gap
Poland,Regional Initiative of Excellence,2019,missing,no_evidence_confirmed,,,"No direct manual confirmation was captured in the original during this pass; current gap should stay unless a dedicated source trace is found.",keep_gap
Poland,Regional Initiative of Excellence,2020,missing,no_evidence_confirmed,,,"No direct manual confirmation was captured in the original during this pass; current gap should stay unless a dedicated source trace is found.",keep_gap
Poland,Regional Initiative of Excellence,2022,missing,no_evidence_confirmed,,,"No direct manual confirmation was captured in the original during this pass; current gap should stay unless a dedicated source trace is found.",keep_gap
Poland,Regional Initiative of Excellence,2024,missing,documented_but_not_traceable_for_final,2024 text.pdf,248,"A large amount appears in the section-28 listing, but the prior survivor was removed because the trace was not stable enough to defend as a standalone final series.",keep_gap
Poland,CERN (Polish contribution),1991,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),1992,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),1993,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),1996,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),1998,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),1999,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2008,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2010,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2011,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2013,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2014,missing,documented_but_not_traceable_for_final,2014 text.pdf,295-296,"The earlier 2014 survivor looked like a page-selection error inside the NCN/NCBiR zone and was removed for traceability reasons.",keep_gap
Poland,CERN (Polish contribution),2015,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2016,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2017,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2018,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2019,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2020,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2021,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2022,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2023,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2024,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,CERN (Polish contribution),2025,missing,no_evidence_confirmed,,,"No manual evidence of a clean CERN contribution row was confirmed in this pass.",keep_gap
Poland,PAN (Polska Akademia Nauk),1996,missing,no_evidence_confirmed,1996 text.pdf,,"Quick scan did not surface a confirmed clean PAN appropriation for this year during the manual pass.",keep_gap
