country,year,canonical_name,category,amount_local,currency,unit,item_type,source_file,page_number,line_description_en,series_notes,verification_status
Poland,2017,NCN (Narodowe Centrum Nauki),science_agency,1192559000.0,PLN,zloty,program_total,2017 text.pdf,49.0,National Science Centre,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; dropped after Poland source audit: synthetic placeholder/summary value not supported by the original budget page; recovered from Poland source-audited row",explicit_same_page
Poland,2023,NCN (Narodowe Centrum Nauki),science_agency,1436577000.0,PLN,zloty,program_total,2023 text.pdf,49.0,Activities of the National Science Centre,"Created 2011 as the main basic research grant agency in Poland. Appears in Część 28, Dział 740.; recovered from Poland source-audited row",explicit_same_page
Poland,1990,PAN (Polska Akademia Nauk),science_agency,100000000.0,PLN,zloty,line_item,1990 text.pdf,22.0,Statutory activities of the Polish Academy of Sciences,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row,explicit_same_page
Poland,1991,PAN (Polska Akademia Nauk),science_agency,113133000.0,PLN,zloty,section_total,1991 text.pdf,19.0,TOTAL,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row,explicit_same_page
Poland,1992,PAN (Polska Akademia Nauk),science_agency,46270000.0,PLN,zloty,line_item,1992 text.pdf,21.0,Current expenditures for PAN,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row,heading_neighbor_amount_weak
Poland,1998,PAN (Polska Akademia Nauk),science_agency,42692000.0,PLN,zloty,section_total,1998 text.pdf,55.0,Total expenditures,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row,explicit_same_page
Poland,1999,PAN (Polska Akademia Nauk),science_agency,120061000.0,PLN,zloty,line_item,1999 D1999017015402.pdf,111.0,budget grant for PAN,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row,explicit_same_page
Poland,2010,PAN (Polska Akademia Nauk),science_agency,54468000.0,PLN,zloty,section_total,2010 text.pdf,57.0,Total expenditures,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row,explicit_same_page
Poland,2011,PAN (Polska Akademia Nauk),science_agency,79924000.0,PLN,zloty,section_total,2011 text.pdf,192.0,Total expenditures,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row,explicit_same_page
Poland,2023,PAN (Polska Akademia Nauk),science_agency,110894000.0,PLN,zloty,section_total,2023 text.pdf,67.0,Total expenditures,Polish Academy of Sciences — own budget part (Część 67). Full appropriation is R&D. Also appears as sub-items in Część 28.; recovered from Poland source-audited row,heading_neighbor_amount_weak
Poland,2021,Polish Space Agency Activities,science_agency,12566000.0,PLN,zloty,program_total,2021 text.pdf,49.0,Activities of the Polish Space Agency,Involves R&D in space science and technology.,heading_neighbor_amount_weak
Poland,2022,Polish Space Agency Activities,science_agency,12566000.0,PLN,zloty,line_item,2022 text.pdf,49.0,Activities of the Polish Space Agency,Involves R&D in space science and technology.,heading_neighbor_amount_weak
Poland,2023,Polish Space Agency Activities,science_agency,19324000.0,PLN,zloty,program_total,2023 text.pdf,45.0,Activities of the Polish Space Agency,Involves R&D in space science and technology.,heading_neighbor_amount_weak
Poland,2024,Polish Space Agency Activities,science_agency,20773000.0,PLN,zloty,line_item,2024 text.pdf,48.0,Activities of the Polish Space Agency,Involves R&D in space science and technology.,explicit_same_page
Poland,2025,Research Reactor MARIA Modernization Program,direct_rd,91744000.0,PLN,zloty,line_item,2025 text.pdf,312.0,Program for the modernization of the research nuclear reactor 'MARIA',This program focuses on the modernization of a research reactor for R&D purposes.,explicit_same_page
