dataset,country,year,series_name,rollup_name,era_name,rollup_method,coverage_status,observation_status,amount_local,unit,currency,expected_components,optional_components,included_components,expected_component_count,included_component_count,comparability_note
analytical_rollup,New Zealand,1993,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,missing,missing,,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),,1,0,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,1994,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,missing,missing,,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),,1,0,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,1995,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,missing,missing,,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),,1,0,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,1996,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,anchor,observed_anchor,267699000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),"Research, Science and Technology Vote (New Zealand)",1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,1997,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,anchor,observed_anchor,287465000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),"Research, Science and Technology Vote (New Zealand)",1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,1998,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,anchor,observed_anchor,317335000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),"Research, Science and Technology Vote (New Zealand)",1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,1999,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,anchor,observed_anchor,326985000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),"Research, Science and Technology Vote (New Zealand)",1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,2000,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,observed_partial_proxy,25839000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),Marsden Fund (New Zealand),1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,2001,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,observed_partial_proxy,27839000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),Marsden Fund (New Zealand),1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,2002,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,observed_partial_proxy,30839000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),Marsden Fund (New Zealand),1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,2003,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,observed_partial_proxy,32789000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),Marsden Fund (New Zealand),1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,2004,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,missing,missing,,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),,1,0,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,2005,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,observed_partial_proxy,33928000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),Marsden Fund (New Zealand),1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,2006,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,observed_partial_proxy,33878000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),Marsden Fund (New Zealand),1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,2007,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,observed_partial_proxy,35878000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),Marsden Fund (New Zealand),1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,2008,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,observed_partial_proxy,37878000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),Marsden Fund (New Zealand),1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,2009,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,partial_proxy,observed_partial_proxy,46878000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),Marsden Fund (New Zealand),1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,2010,New Zealand public science budget proxy,New Zealand public science budget proxy,rst_transition_era,rst_vote_anchor_or_partial_proxy,anchor,observed_anchor,279000000.0,dollar,NZD,"Research, Science and Technology Vote (New Zealand)",Marsden Fund (New Zealand),"Research, Science and Technology Vote (New Zealand)",1,1,"Prefer the explicit Research, Science and Technology vote when available. Fall back to Marsden only as a partial proxy when the vote total is not defensible in the source."
analytical_rollup,New Zealand,2011,New Zealand public science budget proxy,New Zealand public science budget proxy,cri_transition_era,transitional_portfolio_sum,broad_proxy,observed_proxy,261900000.0,dollar,NZD,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand),Callaghan Innovation,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand),2,2,"Transition-era proxy built from the explicit Crown Research Institute core funding anchor plus Marsden, with Callaghan added only where it already exists in the final panel."
analytical_rollup,New Zealand,2012,New Zealand public science budget proxy,New Zealand public science budget proxy,cri_transition_era,transitional_portfolio_sum,broad_proxy,observed_proxy,266900000.0,dollar,NZD,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand),Callaghan Innovation,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand),2,2,"Transition-era proxy built from the explicit Crown Research Institute core funding anchor plus Marsden, with Callaghan added only where it already exists in the final panel."
analytical_rollup,New Zealand,2013,New Zealand public science budget proxy,New Zealand public science budget proxy,cri_transition_era,transitional_portfolio_sum,broad_proxy,observed_proxy,253377000.0,dollar,NZD,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand),Callaghan Innovation,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand),2,2,"Transition-era proxy built from the explicit Crown Research Institute core funding anchor plus Marsden, with Callaghan added only where it already exists in the final panel."
analytical_rollup,New Zealand,2014,New Zealand public science budget proxy,New Zealand public science budget proxy,cri_transition_era,transitional_portfolio_sum,broad_proxy,observed_proxy,254005000.0,dollar,NZD,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand),Callaghan Innovation,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand),2,2,"Transition-era proxy built from the explicit Crown Research Institute core funding anchor plus Marsden, with Callaghan added only where it already exists in the final panel."
analytical_rollup,New Zealand,2015,New Zealand public science budget proxy,New Zealand public science budget proxy,cri_transition_era,transitional_portfolio_sum,broad_proxy,observed_proxy,318959000.0,dollar,NZD,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand),Callaghan Innovation,Crown Research Institutes (New Zealand) | Marsden Fund (New Zealand) | Callaghan Innovation,2,3,"Transition-era proxy built from the explicit Crown Research Institute core funding anchor plus Marsden, with Callaghan added only where it already exists in the final panel."
analytical_rollup,New Zealand,2016,New Zealand public science budget proxy,New Zealand public science budget proxy,modern_portfolio_era,modern_portfolio_sum,broad_proxy,observed_proxy,254418000.0,dollar,NZD,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand),,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand),5,5,Modern proxy built as the sum of explicit science and innovation portfolio components retained in the final institutional panel.
analytical_rollup,New Zealand,2017,New Zealand public science budget proxy,New Zealand public science budget proxy,modern_portfolio_era,modern_portfolio_sum,broad_proxy,observed_proxy,551473000.0,dollar,NZD,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand),Regional Research Institutes,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Regional Research Institutes,6,7,Modern proxy built as the sum of explicit science and innovation portfolio components retained in the final institutional panel.
analytical_rollup,New Zealand,2018,New Zealand public science budget proxy,New Zealand public science budget proxy,modern_portfolio_era,modern_portfolio_sum,broad_proxy,observed_proxy,784485000.0,dollar,NZD,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),Regional Research Institutes,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand) | Regional Research Institutes,7,8,Modern proxy built as the sum of explicit science and innovation portfolio components retained in the final institutional panel.
analytical_rollup,New Zealand,2019,New Zealand public science budget proxy,New Zealand public science budget proxy,modern_portfolio_era,modern_portfolio_sum,partial_proxy,observed_partial_proxy,573753000.0,dollar,NZD,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),Regional Research Institutes,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Endeavour Fund (New Zealand) | Regional Research Institutes,7,7,Modern proxy built as the sum of explicit science and innovation portfolio components retained in the final institutional panel.
analytical_rollup,New Zealand,2020,New Zealand public science budget proxy,New Zealand public science budget proxy,modern_portfolio_era,modern_portfolio_sum,broad_proxy,observed_proxy,910856000.0,dollar,NZD,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),Regional Research Institutes,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),7,7,Modern proxy built as the sum of explicit science and innovation portfolio components retained in the final institutional panel.
analytical_rollup,New Zealand,2021,New Zealand public science budget proxy,New Zealand public science budget proxy,modern_portfolio_era,modern_portfolio_sum,broad_proxy,observed_proxy,917746000.0,dollar,NZD,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),Regional Research Institutes,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand) | Regional Research Institutes,7,8,Modern proxy built as the sum of explicit science and innovation portfolio components retained in the final institutional panel.
analytical_rollup,New Zealand,2022,New Zealand public science budget proxy,New Zealand public science budget proxy,modern_portfolio_era,modern_portfolio_sum,broad_proxy,observed_proxy,961059000.0,dollar,NZD,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),Regional Research Institutes,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand) | Regional Research Institutes,7,8,Modern proxy built as the sum of explicit science and innovation portfolio components retained in the final institutional panel.
analytical_rollup,New Zealand,2023,New Zealand public science budget proxy,New Zealand public science budget proxy,modern_portfolio_era,modern_portfolio_sum,broad_proxy,observed_proxy,940673000.0,dollar,NZD,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),Regional Research Institutes,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),7,7,Modern proxy built as the sum of explicit science and innovation portfolio components retained in the final institutional panel.
analytical_rollup,New Zealand,2024,New Zealand public science budget proxy,New Zealand public science budget proxy,modern_portfolio_era,modern_portfolio_sum,broad_proxy,observed_proxy,970090000.0,dollar,NZD,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),Regional Research Institutes,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),7,7,Modern proxy built as the sum of explicit science and innovation portfolio components retained in the final institutional panel.
analytical_rollup,New Zealand,2025,New Zealand public science budget proxy,New Zealand public science budget proxy,modern_portfolio_era,modern_portfolio_sum,broad_proxy,observed_proxy,947492000.0,dollar,NZD,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),Regional Research Institutes,Callaghan Innovation | Catalyst Fund (New Zealand) | Health Research Fund (New Zealand) | Marsden Fund (New Zealand) | Partnered Research Fund (New Zealand) | Strategic Science Investment Fund (New Zealand) | Endeavour Fund (New Zealand),7,7,Modern proxy built as the sum of explicit science and innovation portfolio components retained in the final institutional panel.
