country,year,source_file,run_status,run_log_rows_extracted,docx_results_rows,docx_audit_in_series_rows,extracted_entities,missing_agencies_from_queue,year_issue_label,year_document_change_flag,country_document_change_signal,document_change_note,diagnosis_excerpt,recommended_action
Netherlands,1985,1985 budget memorandum.pdf,ran_with_rows,6,6,0,Expenditures for research and information | Research and development work | Research policy | Overboeking voor loonbijstelling | Total relevant expenditures,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,1986,1986 budget memorandum.pdf,ran_with_rows,8,8,5,KNAW (Royal Netherlands Academy) | NWO (Dutch Research Council) | OCW Art. 07 Wetenschappelijk onderwijs (universities) | Research and Development Work | TNO (Netherlands Organisation for Applied Research) | Investments in scientific education | Research and development work | Total expenditures Economic Affairs,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,1987,1987 budget memorandum.pdf,ran_with_rows,7,8,2,"KNMI (Royal Netherlands Meteorological Institute) | OCW Art. 07 Wetenschappelijk onderwijs (universities) | Budgeted at | For scientific education and research, including academic hospitals, 5.1 billion is available. | KNMI funding | For scientific research and practical research, 320 million is allocated in the 1987 budget. | The total budget for the Ministry of Economic Affairs is approximately 3.4 billion. | The total budget for this chapter in 1987 is approximately 2.7 billion.",NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,1988,1988 budget memorandum.pdf,ran_with_rows,14,13,1,"EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | Research policy | Subsidies, contributions to international research institutions | Subsidies, contributions, etc. to institutions of scientific research | Enterprise policy: innovation and entrepreneurship | Knowledge and innovation | Research and development | Technology policy",NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,1989,1989 budget memorandum.pdf,ran_with_rows,16,16,5,"EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | KNAW (Royal Netherlands Academy) | NWO (Dutch Research Council) | Research and Development Work | Total Education and Sciences | Contributions to international research institutions | KNAW, NWO, the scientific libraries and other institutions | Research Practice",TNO (Netherlands Organisation for Applied Research),TNO not explicitly named in parsed source,False,True,"The year often contains only broader innovation-policy buckets, not a clean TNO appropriation line.","Year has 1 parsed files but agency not found. May be in a non-table section or different document. | Amount 1,751,000,000 outside expected range [-877,250,000 – 1,473,000,000] (IQR × 3.0) within NLG observations. Possible current/prior year confusion or unit error.",targeted_recovery_if_agency_level_series_required
Netherlands,1990,1990 budget memorandum.pdf,ran_with_rows,9,10,2,"EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | KNAW (Royal Netherlands Academy) | Contributions to international research institutions | KNAW, NOW, scientific libraries and other institutions | Other expenditures | Research activities | Total expenditures Education and Sciences | Extra revenues from knowledge exploitation",NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,1991,1991 budget memorandum.pdf,ran_with_rows,16,16,4,"KNAW (Royal Netherlands Academy) | OCW Art. 07 Wetenschappelijk onderwijs (universities) | Vrije Universiteit Amsterdam (VU) | Wageningen Universiteit (WUR) | Universities | KNAW, NOW, scientific libraries and other institutions | Innovation Stimulus Scheme | Scientific Research",NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,1992,1992 budget memorandum.pdf,ran_with_rows,16,16,4,"EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | KNAW (Royal Netherlands Academy) | NWO (Dutch Research Council) | International Institutions | KNAW, NWO, the scientific libraries and other institutions | Research Practice | Total Scientific Education | Agricultural research",TNO (Netherlands Organisation for Applied Research),TNO not explicitly named in parsed source,False,True,"The year often contains only broader innovation-policy buckets, not a clean TNO appropriation line.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_if_agency_level_series_required
Netherlands,1993,1993 budget memorandum.pdf,ran_with_rows,8,8,2,"OCW Art. 16 Onderzoek en wetenschapsbeleid | Institutions for research and science policy | Other expenditures | Research and science policy | Universities, academic hospitals and other expenditures for higher education and scientific research | Practical research | Research | Research personnel",NWO (Dutch Research Council),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,"OCW Art. 16 is present, but the source exposes a combined research-policy aggregate rather than a clean NWO/KNAW split.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,document_only_keep_ocw_art16_aggregate
Netherlands,1994,1994 budget memorandum.pdf,ran_with_rows,24,24,6,KNAW (Royal Netherlands Academy) | NWO (Dutch Research Council) | OCW Art. 16 Onderzoek en wetenschapsbeleid | TNO (Netherlands Organisation for Applied Research) | Other expenditures | Research and science policy | Research institutions | Scientific education,KNAW (Royal Netherlands Academy),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,"OCW Art. 16 is present, but the source exposes a combined research-policy aggregate rather than a clean NWO/KNAW split.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,document_only_keep_ocw_art16_aggregate
Netherlands,1995,1995 budget memorandum.pdf,ran_with_rows,5,5,2,"EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | OCW Art. 07 Wetenschappelijk onderwijs (universities) | Total Education, Culture and Science | Scientific Education | Research and Science Policy | Research | Enterprise Policy: Innovation and Entrepreneurship",NWO (Dutch Research Council),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,"OCW Art. 16 is present, but the source exposes a combined research-policy aggregate rather than a clean NWO/KNAW split.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,document_only_keep_ocw_art16_aggregate
Netherlands,1996,1996 budget memorandum.pdf,ran_with_rows,6,8,5,KNAW (Royal Netherlands Academy) | NWO (Dutch Research Council) | OCW Art. 16 Onderzoek en wetenschapsbeleid | RIVM (National Institute for Public Health) | Budget of OCW | Dutch Research Council (NWO) | Research and Science Policy | Royal Netherlands Academy of Arts and Sciences (KNAW),NWO (Dutch Research Council),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,"OCW Art. 16 is present, but the source exposes a combined research-policy aggregate rather than a clean NWO/KNAW split.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,document_only_keep_ocw_art16_aggregate
Netherlands,1997,1997 budget memorandum.pdf,ran_with_rows,11,13,8,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | KNAW (Royal Netherlands Academy) | NWO (Dutch Research Council) | OCW Art. 07 Wetenschappelijk onderwijs (universities) | OCW Art. 16 Onderzoek en wetenschapsbeleid | RIVM (National Institute for Public Health) | TNO (Netherlands Organisation for Applied Research) | Contribution to KNAW,OCW Art. 07 Wetenschappelijk onderwijs (universities),Rows retained for final series,False,True,,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,none
Netherlands,1998,1998 budget memorandum.pdf,ran_with_rows,8,9,4,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | NWO (Dutch Research Council) | OCW Art. 16 Onderzoek en wetenschapsbeleid | RIVM (National Institute for Public Health) | Wageningen Universiteit (WUR) | RIVM | Knowledge Stimulation | Dutch Research Council,NWO (Dutch Research Council),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,"OCW Art. 16 is present, but the source exposes a combined research-policy aggregate rather than a clean NWO/KNAW split.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,document_only_keep_ocw_art16_aggregate
Netherlands,1999,1999 budget memorandum.pdf,ran_with_rows,14,18,13,EZ Art. 02 Bedrijvenbeleid / innovatie (incl. TNO) | KNAW (Royal Netherlands Academy) | NWO (Dutch Research Council) | OCW Art. 16 Onderzoek en wetenschapsbeleid | RIVM (National Institute for Public Health) | Research and Development Work | TNO (Netherlands Organisation for Applied Research) | Wageningen Universiteit (WUR),Deltares (water and subsurface research),Rows retained for final series,False,True,,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,none
Netherlands,2000,2000_ministry10.pdf,ran_zero_rows,0,0,0,,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2000,2000_ministry12.pdf,ran_with_rows,5,9,0,Research and development general | TOTAL | Research and development | Totale baten | Totale kapitaalontvangsten | Totale kapitaaluitgaven | Totale lasten,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2000,2000_ministry13.pdf,ran_with_rows,8,10,3,ECN (Energy Research Centre Netherlands) | Research and Development Work | Industrial and General Technology Policy | Research and information for technology policy | TOTAL | Technological Infrastructure | Energieonderzoek Centrum Nederland | Energy Policy,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2000,2000_ministry16.pdf,ran_zero_rows,0,6,6,RIVM (National Institute for Public Health) | Personnel and material RIVM | Contribution from budget XI regarding RIVM,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 1 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2000,2000_ministry8.pdf,ran_with_rows,5,5,4,OCW Art. 07 Wetenschappelijk onderwijs (universities) | OCW Art. 16 Onderzoek en wetenschapsbeleid | Institutions for research and science policy | Research and science policy | Scientific education | TOTAL | Universities,NWO (Dutch Research Council),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,Ministry 8 consistently provides OCW Art. 16 aggregate appropriations but not an auditable split between NWO and KNAW.,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,document_only_keep_ocw_art16_aggregate
Netherlands,2001,2001_ministry10.pdf,ran_zero_rows,0,0,0,,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2001,2001_ministry12.pdf,ran_with_rows,5,9,0,Research and development general | TOTAL | Research and development | Totale baten | Totale kapitaalontvangsten | Totale kapitaaluitgaven | Totale lasten,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2001,2001_ministry13.pdf,ran_with_rows,8,8,4,ECN (Energy Research Centre Netherlands) | Research and Development Work | TOTAL | Energy Research Center Netherlands | Research and Development Work in the Energy Sector | Technological Infrastructure,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2001,2001_ministry14.pdf,ran_with_rows,4,4,0,Practical Research | SCIENCE AND KNOWLEDGE TRANSFER | Scientific Research | TOTAL,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2001,2001_ministry16.pdf,ran_zero_rows,0,5,3,RIVM (National Institute for Public Health) | Personeel en materieel | Total RIVM | Bijdrage van begroting XI | Rijksinstituut voor Volksgezondheid en Milieu,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2001,2001_ministry8.pdf,ran_with_rows,6,6,4,OCW Art. 07 Wetenschappelijk onderwijs (universities) | OCW Art. 16 Onderzoek en wetenschapsbeleid | Institutes for international education and research | Institutions for research and science policy | Research and science policy | Scientific education | TOTAL | Universities,NWO (Dutch Research Council),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,Ministry 8 consistently provides OCW Art. 16 aggregate appropriations but not an auditable split between NWO and KNAW.,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,document_only_keep_ocw_art16_aggregate
Netherlands,2002,2002_ministry10.pdf,ran_with_rows,2,2,0,Scientific research and development | TOTAL,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 3 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2002,2002_ministry12.pdf,ran_zero_rows,0,4,0,Total capital expenditures | Total capital revenues | Total expenses | Total revenues,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 3 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2002,2002_ministry13.pdf,ran_with_rows,2,1,0,TOTAL,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 3 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2002,2002_ministry14.pdf,ran_with_rows,3,3,0,07 Knowledge Development and Innovation | Knowledge Development and Innovation | TOTAL,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 3 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2002,2002_ministry16.pdf,ran_zero_rows,0,4,1,RIVM (National Institute for Public Health) | Algemeen | Niet-beleidsartikelen | Rijksbijdragen | Rijksinstituut voor Volksgezondheid en Milieu,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 3 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2002,2002_ministry8.pdf,ran_with_rows,2,1,0,Promoting innovation strength,NWO (Dutch Research Council),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,Ministry 8 consistently provides OCW Art. 16 aggregate appropriations but not an auditable split between NWO and KNAW.,Year has 3 parsed files but agency not found. May be in a non-table section or different document.,document_only_keep_ocw_art16_aggregate
Netherlands,2003,2003_ministry10.pdf,ran_zero_rows,0,0,0,,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2003,2003_ministry12.pdf,ran_zero_rows,0,5,0,Total capital expenditures | Total capital revenues | Unknown line,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2003,2003_ministry13.pdf,ran_with_rows,2,2,0,Promoting innovation strength | TOTAL,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2003,2003_ministry14.pdf,ran_with_rows,2,2,0,Knowledge development and innovation | TOTAL,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2003,2003_ministry16.pdf,ran_zero_rows,0,2,1,RIVM (National Institute for Public Health) | Rijksbijdragen | Rijksinstituut voor Volksgezondheid en Milieu,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2003,2003_ministry8.pdf,ran_with_rows,2,2,0,Research and Sciences | TOTAL,NWO (Dutch Research Council),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,Ministry 8 consistently provides OCW Art. 16 aggregate appropriations but not an auditable split between NWO and KNAW.,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,document_only_keep_ocw_art16_aggregate
Netherlands,2004,2004_ministry10.pdf,ran_zero_rows,0,0,0,,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2004,2004_ministry12.pdf,ran_zero_rows,0,3,0,Mij bekend | Totaal kapitaal-ontvangsten | Totaal kapitaal-uitgaven,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2004,2004_ministry13.pdf,ran_with_rows,2,2,0,TOTAL | Promoting innovation strength,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2004,2004_ministry14.pdf,ran_with_rows,2,2,0,Knowledge development and innovation | TOTAL,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2004,2004_ministry16.pdf,ran_zero_rows,0,3,3,RIVM (National Institute for Public Health) | RIVM Capital Expenses | RIVM Operating Expenses | Total RIVM Expenses,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 2 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2004,2004_ministry8.pdf,ran_with_rows,3,3,1,OCW Art. 07 Wetenschappelijk onderwijs (universities) | TOTAL | Research and sciences | Scientific education,NWO (Dutch Research Council),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,Ministry 8 consistently provides OCW Art. 16 aggregate appropriations but not an auditable split between NWO and KNAW.,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,document_only_keep_ocw_art16_aggregate
Netherlands,2005,2005_ministry10.pdf,ran_zero_rows,0,0,0,,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 6 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2005,2005_ministry12.pdf,ran_zero_rows,0,4,0,Total capital expenditures | Total capital revenues | Total expenses | Total revenues,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 6 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2005,2005_ministry13.pdf,ran_with_rows,2,2,0,TOTAL | Promoting innovation strength,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 6 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2005,2005_ministry14.pdf,ran_with_rows,2,2,0,Knowledge development and innovation | TOTAL,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 6 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2005,2005_ministry16.pdf,ran_zero_rows,0,3,2,RIVM (National Institute for Public Health) | Rijksinstituut voor Volksgezondheid en Milieu | Totaal,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 6 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2005,2005_ministry8.pdf,ran_with_rows,3,3,1,OCW Art. 07 Wetenschappelijk onderwijs (universities) | Scientific education | TOTAL | Research and sciences,NWO (Dutch Research Council),Aggregate-only OCW Art. 16 for NWO/KNAW,True,True,Ministry 8 consistently provides OCW Art. 16 aggregate appropriations but not an auditable split between NWO and KNAW.,Year has 6 parsed files but agency not found. May be in a non-table section or different document.,document_only_keep_ocw_art16_aggregate
Netherlands,2006,2006_ministry10.pdf,ran_zero_rows,0,0,0,,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 5 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
Netherlands,2006,2006_ministry12.pdf,ran_zero_rows,0,3,0,Total capital expenditures | Total capital revenues | Total revenues,NWO (Dutch Research Council),Agency not named in parsed source,False,True,"The source ran, but no agency-specific NWO/KNAW line survived into the final series.",Year has 5 parsed files but agency not found. May be in a non-table section or different document.,targeted_recovery_or_better_annex_needed
