canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
National Open and Distance University - UNAD,higher_education,[],"['section_total', 'program_total', 'line_item']","(2004, 2004)","As a higher education institution, it may engage in R&D activities.",higher_education,0.7,SECCION: 2226 UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA- UNAD A. PRESUPUESTO DE FUNCIONAMIENTO,1,18878406427.0,confidence below threshold,Colombia
National Open and Distance University - UNAD,higher_education,[],"['section_total', 'program_total', 'line_item']","(2005, 2005)","As a higher education institution, it may engage in R&D activities.",higher_education,0.7,SECCION: 2226 UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA – UNAD A. PRESUPUESTO DE FUNCIONAMIENTO.,1,17926189003.0,confidence below threshold,Colombia
Pascual Bravo Technological Institute - Medellin Operating Budget,higher_education,[],"['section_total', 'program_total', 'line_item']","(2005, 2005)",This institute is involved in technological education and research.,higher_education,0.7,SECCION: 2211 INSTITUTO TECNOLOGICO PASCUAL BRAVO – MEDELLIN A. PRESUPUESTO DE FUNCIONAMIENTO.,1,6986706878.0,confidence below threshold,Colombia
Colombian Institute of Anthropology and History - Operating Budget,higher_education,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",Involved in research related to anthropology and history.,higher_education,0.6,SECCION: 3305 INSTITUTO COLOMBIANO DE ANTROPOLOGÍA E HISTORIA A. PRESUPUESTO DE FUNCIONAMIENTO,1,6539079135.0,confidence below threshold,Colombia
Pascual Bravo Technological Institute - Medellin Operating Budget,higher_education,[],"['section_total', 'program_total', 'line_item']","(2004, 2004)",This institute is involved in technological education and research.,higher_education,0.7,SECCION. 2211 INSTITUTO TECNOLOGICO PASCUAL BRAVO - MEDELLIN A. PRESUPUESTO DE FUNCIONAMIENTO,1,6485037569.0,confidence below threshold,Colombia
Pre-investment Studies,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2002, 2005)",Pre-investment studies often involve research and development activities.,rd_programme,0.7,ESTUDIOS DE PREINVERSION,3,4839666666.666667,confidence below threshold,Colombia
Sustainable Environmental Development of the Mining-Energy Sector,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This program may involve R&D related to sustainable practices in the mining-energy sector.,rd_programme,0.5,DESARROLLO AMBIENTAL SOSTENIBLE DEL SECTOR MINERO ENERGÉTICO,1,2444000000.0,confidence below threshold,Colombia
Integral Management of Water Resources,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)",This program may involve R&D related to water resource management.,rd_programme,0.6,GESTIÓN INTEGRAL DEL RECURSO HÍDRICO,1,2394640045.0,confidence below threshold,Colombia
Specialized Health Services,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2004, 2005)",This entity likely involves R&D in health services.,rd_programme,0.7,SERVICIOS ESPECIALIZADOS DE SALUD,2,2338278500.0,confidence below threshold,Colombia
Technological Institute of Putumayo,higher_education,[],"['section_total', 'program_total', 'line_item']","(2002, 2002)","As an educational institution, it likely engages in R&D activities.",higher_education,0.6,TECNOLOG ICO DEL PUTUMAYO,1,1225963250.0,confidence below threshold,Colombia
National Technical Institute of Commerce 'Simón Rodríguez' in Cali,higher_education,[],"['section_total', 'program_total', 'line_item']","(2012, 2012)","As an educational institution, it likely engages in R&D activities.",higher_education,0.6,"INSTITUTO TÉCNICO NACIONAL DE COMERCIO ""SIMÓN RODRÍGUEZ"" DE CALI A-INGRESOS CORRIENTES",1,1178133136.0,confidence below threshold,Colombia
Higher Education,higher_education,[],"['section_total', 'program_total', 'line_item']","(2004, 2004)",This entity is relevant to R&D as it pertains to higher education institutions.,higher_education,0.7,EDUCACIÓN SUPERIOR,1,500000000.0,confidence below threshold,Colombia
