country,year,report_fixable,report_category,report_tried,report_conclusion,report_source_files,current_gap_report_has_gap,current_gap_report_actions,current_gap_report_canonicals,current_gap_report_row_count,review_table_issue_labels,review_table_actions,review_table_diagnosis,review_table_row_count,suggested_status,review_basis
Colombia,2009,Potentially,Extraction gaps in covered period,Colombia has 8 gaps. 41 files in corpus. Colciencias (now MinCiencias) key R&D agency. Source docs likely exist for gap years.,POTENTIALLY FIXABLE — Source docs likely available.,2010 Ley_1365_de_2009.pdf | 2009 Ley_1260_de_2008.pdf | 2010 Ley_1365_de_2009.pdf | 2009 Ley_1260_de_2008.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Colombia,2010,Potentially,Extraction gaps in covered period,Colombia has 8 gaps. 41 files in corpus. Colciencias (now MinCiencias) key R&D agency. Source docs likely exist for gap years.,POTENTIALLY FIXABLE — Source docs likely available.,2010 Ley_1365_de_2009.pdf | 2010 Ley_1365_de_2009.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Colombia,2011,Potentially,Extraction gaps in covered period,Colombia has 8 gaps. 41 files in corpus. Colciencias (now MinCiencias) key R&D agency. Source docs likely exist for gap years.,POTENTIALLY FIXABLE — Source docs likely available.,2012 Ley_1485_de_2011.pdf | 2012 Ley_1485_de_2011.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Colombia,2015,Potentially,Extraction gaps in covered period,Colombia has 8 gaps. 41 files in corpus. Colciencias (now MinCiencias) key R&D agency. Source docs likely exist for gap years.,POTENTIALLY FIXABLE — Source docs likely available.,2016 LEY 1769 DE 2015.pdf | 2015 Ley_1737_de_2014.pdf | 2016 LEY 1769 DE 2015.pdf | 2015 Ley_1737_de_2014.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Costa Rica,2012,Potentially,Extraction gaps in covered period,Costa Rica has 8 gaps. 25 files in corpus. CONICIT/MICITT key R&D agencies. Source docs likely available.,POTENTIALLY FIXABLE — Source docs likely available.,2012_Ley de presupuesto.pdf | 2012_Ley de presupuesto.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Costa Rica,2014,Potentially,Extraction gaps in covered period,Costa Rica has 8 gaps. 25 files in corpus. CONICIT/MICITT key R&D agencies. Source docs likely available.,POTENTIALLY FIXABLE — Source docs likely available.,2014_Tomo4_Ley de presupuesto.pdf | 2014_Tomo1_Ley de presupuesto.pdf | 2014_Tomo5_Ley de presupuesto.pdf | 2014_Tomo4_Ley de presupuesto.pdf | 2014_Tomo1_Ley de presupuesto.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Costa Rica,2015,Potentially,Extraction gaps in covered period,Costa Rica has 8 gaps. 25 files in corpus. CONICIT/MICITT key R&D agencies. Source docs likely available.,POTENTIALLY FIXABLE — Source docs likely available.,2015_Ley de presupuesto.pdf | 2015_Ley de presupuesto.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Costa Rica,2016,Potentially,Extraction gaps in covered period,Costa Rica has 8 gaps. 25 files in corpus. CONICIT/MICITT key R&D agencies. Source docs likely available.,POTENTIALLY FIXABLE — Source docs likely available.,2016_Ley de presupuesto.pdf | 2016_Ley de presupuesto.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Costa Rica,2018,Potentially,Extraction gaps in covered period,Costa Rica has 8 gaps. 25 files in corpus. CONICIT/MICITT key R&D agencies. Source docs likely available.,POTENTIALLY FIXABLE — Source docs likely available.,2018_Ley de presupuesto.pdf | 2018_Ley de presupuesto.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Costa Rica,2019,Potentially,Extraction gaps in covered period,Costa Rica has 8 gaps. 25 files in corpus. CONICIT/MICITT key R&D agencies. Source docs likely available.,POTENTIALLY FIXABLE — Source docs likely available.,2019_Ley de presupuesto.pdf | 2019_Ley de presupuesto.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Costa Rica,2022,Potentially,Extraction gaps in covered period,Costa Rica has 8 gaps. 25 files in corpus. CONICIT/MICITT key R&D agencies. Source docs likely available.,POTENTIALLY FIXABLE — Source docs likely available.,2022_Ley de presupuesto.pdf | 2022_Ley de presupuesto.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Costa Rica,2023,Potentially,Extraction gaps in covered period,Costa Rica has 8 gaps. 25 files in corpus. CONICIT/MICITT key R&D agencies. Source docs likely available.,POTENTIALLY FIXABLE — Source docs likely available.,2023_Ley de presupuesto.pdf | 2023_Ley de presupuesto.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Czech Republic,1995,Potentially,Extraction gaps,Czech Republic has 3 gaps. 33 files in corpus. GACR (Czech Science Foundation) key agency. Source docs likely available for 2010-2011.,POTENTIALLY FIXABLE — Source docs likely exist.,1995 sb73-94.pdf | 1995 sb73-94.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Czech Republic,2010,Potentially,Extraction gaps,Czech Republic has 3 gaps. 33 files in corpus. GACR (Czech Science Foundation) key agency. Source docs likely available for 2010-2011.,POTENTIALLY FIXABLE — Source docs likely exist.,2010 Zak_2009-487_Zakon-c-4872009-Sb.pdf | 2011 Zak_2010-433_Zakon-c-4332010-Sb.pdf | 2010 Zak_2009-487_Zakon-c-4872009-Sb.pdf | 2011 Zak_2010-433_Zakon-c-4332010-Sb.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Czech Republic,2011,Potentially,Extraction gaps,Czech Republic has 3 gaps. 33 files in corpus. GACR (Czech Science Foundation) key agency. Source docs likely available for 2010-2011.,POTENTIALLY FIXABLE — Source docs likely exist.,2012 Zak_2011-455_Prilohy-k-zakonu-c-4552011-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2012.pdf | 2011 Zak_2010-433_Zakon-c-4332010-Sb.pdf | 2012 Zak_2011-455_Prilohy-k-zakonu-c-4552011-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2012.pdf | 2011 Zak_2010-433_Zakon-c-4332010-Sb.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Denmark,2002,No,Source doc not found in corpus,Denmark has 1 gap (2002). 50 files in corpus. Forskningsministeriet key agency. No 2002 source document found.,NOT FIXABLE — source document for 2002 not in corpus.,,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Estonia,1993,Potentially,Extraction gaps in long time series,"Estonia has 13 gaps (1993, 2012-2021, 2023-2024). 35 files in corpus. ETF (Eesti Teadusfond) and MKM (Ministry of Economic Affairs) key R&D agencies. Gap years not yet attempted for extraction.",POTENTIALLY FIXABLE — Source docs likely available for most gaps. Systematic re-extraction needed.,1993 13103545.pdf | 1993 13103545.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Estonia,2012,Potentially,Extraction gaps in long time series,"Estonia has 13 gaps (1993, 2012-2021, 2023-2024). 35 files in corpus. ETF (Eesti Teadusfond) and MKM (Ministry of Economic Affairs) key R&D agencies. Gap years not yet attempted for extraction.",POTENTIALLY FIXABLE — Source docs likely available for most gaps. Systematic re-extraction needed.,2012 114122012006.pdf | 2012 114122012006.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Estonia,2013,Potentially,Extraction gaps in long time series,"Estonia has 13 gaps (1993, 2012-2021, 2023-2024). 35 files in corpus. ETF (Eesti Teadusfond) and MKM (Ministry of Economic Affairs) key R&D agencies. Gap years not yet attempted for extraction.",POTENTIALLY FIXABLE — Source docs likely available for most gaps. Systematic re-extraction needed.,2013 128122012009-1.pdf | 2013 128122012009-1.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Estonia,2014,Potentially,Extraction gaps in long time series,"Estonia has 13 gaps (1993, 2012-2021, 2023-2024). 35 files in corpus. ETF (Eesti Teadusfond) and MKM (Ministry of Economic Affairs) key R&D agencies. Gap years not yet attempted for extraction.",POTENTIALLY FIXABLE — Source docs likely available for most gaps. Systematic re-extraction needed.,2014 128122013010.pdf | 2014 128122013010.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Estonia,2015,Potentially,Extraction gaps in long time series,"Estonia has 13 gaps (1993, 2012-2021, 2023-2024). 35 files in corpus. ETF (Eesti Teadusfond) and MKM (Ministry of Economic Affairs) key R&D agencies. Gap years not yet attempted for extraction.",POTENTIALLY FIXABLE — Source docs likely available for most gaps. Systematic re-extraction needed.,2015 123122015006.pdf | 2015 123122015006.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Estonia,2016,Potentially,Extraction gaps in long time series,"Estonia has 13 gaps (1993, 2012-2021, 2023-2024). 35 files in corpus. ETF (Eesti Teadusfond) and MKM (Ministry of Economic Affairs) key R&D agencies. Gap years not yet attempted for extraction.",POTENTIALLY FIXABLE — Source docs likely available for most gaps. Systematic re-extraction needed.,2016 123122015006-1.pdf | 2016 123122015006-1.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Estonia,2017,Potentially,Extraction gaps in long time series,"Estonia has 13 gaps (1993, 2012-2021, 2023-2024). 35 files in corpus. ETF (Eesti Teadusfond) and MKM (Ministry of Economic Affairs) key R&D agencies. Gap years not yet attempted for extraction.",POTENTIALLY FIXABLE — Source docs likely available for most gaps. Systematic re-extraction needed.,2017 127122016021.pdf | 2017 127122016021.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Estonia,2018,Potentially,Extraction gaps in long time series,"Estonia has 13 gaps (1993, 2012-2021, 2023-2024). 35 files in corpus. ETF (Eesti Teadusfond) and MKM (Ministry of Economic Affairs) key R&D agencies. Gap years not yet attempted for extraction.",POTENTIALLY FIXABLE — Source docs likely available for most gaps. Systematic re-extraction needed.,2018 129122017031.pdf | 2018 129122017031.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Estonia,2019,Potentially,Extraction gaps in long time series,"Estonia has 13 gaps (1993, 2012-2021, 2023-2024). 35 files in corpus. ETF (Eesti Teadusfond) and MKM (Ministry of Economic Affairs) key R&D agencies. Gap years not yet attempted for extraction.",POTENTIALLY FIXABLE — Source docs likely available for most gaps. Systematic re-extraction needed.,2019 128122018045-1.pdf | 2019 128122018045.pdf | 2019 128122018045-1.pdf | 2019 128122018045.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Estonia,2020,Potentially,Extraction gaps in long time series,"Estonia has 13 gaps (1993, 2012-2021, 2023-2024). 35 files in corpus. ETF (Eesti Teadusfond) and MKM (Ministry of Economic Affairs) key R&D agencies. Gap years not yet attempted for extraction.",POTENTIALLY FIXABLE — Source docs likely available for most gaps. Systematic re-extraction needed.,2020 102122020006-1.pdf | 2020 102122020006-1.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Estonia,2021,Potentially,Extraction gaps in long time series,"Estonia has 13 gaps (1993, 2012-2021, 2023-2024). 35 files in corpus. ETF (Eesti Teadusfond) and MKM (Ministry of Economic Affairs) key R&D agencies. Gap years not yet attempted for extraction.",POTENTIALLY FIXABLE — Source docs likely available for most gaps. Systematic re-extraction needed.,2021 103122021023.pdf | 2021 103122021023.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Estonia,2023,Potentially,Extraction gaps in long time series,"Estonia has 13 gaps (1993, 2012-2021, 2023-2024). 35 files in corpus. ETF (Eesti Teadusfond) and MKM (Ministry of Economic Affairs) key R&D agencies. Gap years not yet attempted for extraction.",POTENTIALLY FIXABLE — Source docs likely available for most gaps. Systematic re-extraction needed.,,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Estonia,2024,Potentially,Extraction gaps in long time series,"Estonia has 13 gaps (1993, 2012-2021, 2023-2024). 35 files in corpus. ETF (Eesti Teadusfond) and MKM (Ministry of Economic Affairs) key R&D agencies. Gap years not yet attempted for extraction.",POTENTIALLY FIXABLE — Source docs likely available for most gaps. Systematic re-extraction needed.,2024 119122023019.pdf | 2024 119122023019.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Finland,1990,No,No source documents found in corpus for gap years,"Finland has 4 gaps. 39 files in corpus but filenames suggest they don't cover 1990, 1991, 1994, 1995. Finnish Academy and TEKES (now Business Finland) key agencies. No docs found for these specific years.",NOT FIXABLE without source documents — files not in corpus for these years.,,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Finland,1991,No,No source documents found in corpus for gap years,"Finland has 4 gaps. 39 files in corpus but filenames suggest they don't cover 1990, 1991, 1994, 1995. Finnish Academy and TEKES (now Business Finland) key agencies. No docs found for these specific years.",NOT FIXABLE without source documents — files not in corpus for these years.,,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Finland,1994,No,No source documents found in corpus for gap years,"Finland has 4 gaps. 39 files in corpus but filenames suggest they don't cover 1990, 1991, 1994, 1995. Finnish Academy and TEKES (now Business Finland) key agencies. No docs found for these specific years.",NOT FIXABLE without source documents — files not in corpus for these years.,,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
Finland,1995,No,No source documents found in corpus for gap years,"Finland has 4 gaps. 39 files in corpus but filenames suggest they don't cover 1990, 1991, 1994, 1995. Finnish Academy and TEKES (now Business Finland) key agencies. No docs found for these specific years.",NOT FIXABLE without source documents — files not in corpus for these years.,,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
France,1971,Potentially,Scattered extraction gaps across long time series,"France has 21 gaps at years 1971, 1975, 1976, 1980, 1989, 1991-1993, 1995-2004, 2006, 2018-2019. French Finance Bills (PLF/LFI) are well-structured with MIRES mission chapters. Source docs exist for most gap years (France has 56 files in corpus). Some gaps reflect parsing failures or years where agency data wasn't cleanly separated.",POTENTIALLY FIXABLE — French budget structure is well-organized. Source docs available. Re-extraction for specific gap years (especially recent ones 2018-2019) should recover missing data.,JORF_1971.pdf | JORF_1971.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
France,1975,Potentially,Scattered extraction gaps across long time series,"France has 21 gaps at years 1971, 1975, 1976, 1980, 1989, 1991-1993, 1995-2004, 2006, 2018-2019. French Finance Bills (PLF/LFI) are well-structured with MIRES mission chapters. Source docs exist for most gap years (France has 56 files in corpus). Some gaps reflect parsing failures or years where agency data wasn't cleanly separated.",POTENTIALLY FIXABLE — French budget structure is well-organized. Source docs available. Re-extraction for specific gap years (especially recent ones 2018-2019) should recover missing data.,JORF_1975.pdf | JORF_1975.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
France,1976,Potentially,Scattered extraction gaps across long time series,"France has 21 gaps at years 1971, 1975, 1976, 1980, 1989, 1991-1993, 1995-2004, 2006, 2018-2019. French Finance Bills (PLF/LFI) are well-structured with MIRES mission chapters. Source docs exist for most gap years (France has 56 files in corpus). Some gaps reflect parsing failures or years where agency data wasn't cleanly separated.",POTENTIALLY FIXABLE — French budget structure is well-organized. Source docs available. Re-extraction for specific gap years (especially recent ones 2018-2019) should recover missing data.,JORF_1976.pdf | JORF_1976.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
France,1980,Potentially,Scattered extraction gaps across long time series,"France has 21 gaps at years 1971, 1975, 1976, 1980, 1989, 1991-1993, 1995-2004, 2006, 2018-2019. French Finance Bills (PLF/LFI) are well-structured with MIRES mission chapters. Source docs exist for most gap years (France has 56 files in corpus). Some gaps reflect parsing failures or years where agency data wasn't cleanly separated.",POTENTIALLY FIXABLE — French budget structure is well-organized. Source docs available. Re-extraction for specific gap years (especially recent ones 2018-2019) should recover missing data.,JORF_1980.pdf | JORF_1980.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
France,1989,Potentially,Scattered extraction gaps across long time series,"France has 21 gaps at years 1971, 1975, 1976, 1980, 1989, 1991-1993, 1995-2004, 2006, 2018-2019. French Finance Bills (PLF/LFI) are well-structured with MIRES mission chapters. Source docs exist for most gap years (France has 56 files in corpus). Some gaps reflect parsing failures or years where agency data wasn't cleanly separated.",POTENTIALLY FIXABLE — French budget structure is well-organized. Source docs available. Re-extraction for specific gap years (especially recent ones 2018-2019) should recover missing data.,JORF_1989.pdf | JORF_1989.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
France,1991,Potentially,Scattered extraction gaps across long time series,"France has 21 gaps at years 1971, 1975, 1976, 1980, 1989, 1991-1993, 1995-2004, 2006, 2018-2019. French Finance Bills (PLF/LFI) are well-structured with MIRES mission chapters. Source docs exist for most gap years (France has 56 files in corpus). Some gaps reflect parsing failures or years where agency data wasn't cleanly separated.",POTENTIALLY FIXABLE — French budget structure is well-organized. Source docs available. Re-extraction for specific gap years (especially recent ones 2018-2019) should recover missing data.,JORF_1991.pdf | JORF_1991.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
France,1992,Potentially,Scattered extraction gaps across long time series,"France has 21 gaps at years 1971, 1975, 1976, 1980, 1989, 1991-1993, 1995-2004, 2006, 2018-2019. French Finance Bills (PLF/LFI) are well-structured with MIRES mission chapters. Source docs exist for most gap years (France has 56 files in corpus). Some gaps reflect parsing failures or years where agency data wasn't cleanly separated.",POTENTIALLY FIXABLE — French budget structure is well-organized. Source docs available. Re-extraction for specific gap years (especially recent ones 2018-2019) should recover missing data.,JORF_1992.pdf | JORF_1992.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
France,1993,Potentially,Scattered extraction gaps across long time series,"France has 21 gaps at years 1971, 1975, 1976, 1980, 1989, 1991-1993, 1995-2004, 2006, 2018-2019. French Finance Bills (PLF/LFI) are well-structured with MIRES mission chapters. Source docs exist for most gap years (France has 56 files in corpus). Some gaps reflect parsing failures or years where agency data wasn't cleanly separated.",POTENTIALLY FIXABLE — French budget structure is well-organized. Source docs available. Re-extraction for specific gap years (especially recent ones 2018-2019) should recover missing data.,JORF_1993.pdf | JORF_1993.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
France,1995,Potentially,Scattered extraction gaps across long time series,"France has 21 gaps at years 1971, 1975, 1976, 1980, 1989, 1991-1993, 1995-2004, 2006, 2018-2019. French Finance Bills (PLF/LFI) are well-structured with MIRES mission chapters. Source docs exist for most gap years (France has 56 files in corpus). Some gaps reflect parsing failures or years where agency data wasn't cleanly separated.",POTENTIALLY FIXABLE — French budget structure is well-organized. Source docs available. Re-extraction for specific gap years (especially recent ones 2018-2019) should recover missing data.,JORF_1995.pdf | JORF_1995.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
France,1996,Potentially,Scattered extraction gaps across long time series,"France has 21 gaps at years 1971, 1975, 1976, 1980, 1989, 1991-1993, 1995-2004, 2006, 2018-2019. French Finance Bills (PLF/LFI) are well-structured with MIRES mission chapters. Source docs exist for most gap years (France has 56 files in corpus). Some gaps reflect parsing failures or years where agency data wasn't cleanly separated.",POTENTIALLY FIXABLE — French budget structure is well-organized. Source docs available. Re-extraction for specific gap years (especially recent ones 2018-2019) should recover missing data.,JORF_1996.pdf | JORF_1996.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
France,1997,Potentially,Scattered extraction gaps across long time series,"France has 21 gaps at years 1971, 1975, 1976, 1980, 1989, 1991-1993, 1995-2004, 2006, 2018-2019. French Finance Bills (PLF/LFI) are well-structured with MIRES mission chapters. Source docs exist for most gap years (France has 56 files in corpus). Some gaps reflect parsing failures or years where agency data wasn't cleanly separated.",POTENTIALLY FIXABLE — French budget structure is well-organized. Source docs available. Re-extraction for specific gap years (especially recent ones 2018-2019) should recover missing data.,JORF_1997.pdf | JORF_1997.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
France,1998,Potentially,Scattered extraction gaps across long time series,"France has 21 gaps at years 1971, 1975, 1976, 1980, 1989, 1991-1993, 1995-2004, 2006, 2018-2019. French Finance Bills (PLF/LFI) are well-structured with MIRES mission chapters. Source docs exist for most gap years (France has 56 files in corpus). Some gaps reflect parsing failures or years where agency data wasn't cleanly separated.",POTENTIALLY FIXABLE — French budget structure is well-organized. Source docs available. Re-extraction for specific gap years (especially recent ones 2018-2019) should recover missing data.,JORF_1998.pdf | JORF_1998.pdf,No,,,0,,,,0,Resolved/Stale,Row appears in the static HTML report but is not present in the current country gap_report.csv.
