country,problem_years,missing_agency_years,outlier_agency_years,missing_years,outlier_years,documented_not_comparable,reextract_cases,verify_cases,raw_rows_found_not_classified,run_docs,zero_row_docs,zero_row_years,missing_years_with_run_logs,missing_years_with_zero_row_docs,missing_years_without_run_logs,zero_row_doc_share,missing_year_ranges,outlier_year_ranges,currencies_seen,document_change_signal,aggregate_source_signal,ocr_signal,unsupported_format_signal,currency_or_unit_break_signal,source_inventory_gap_signal,primary_issue_type,primary_issue_label,note_excerpt,note_path,criticality_score,severity,criticality_rank
Portugal,34,62,0,34,0,0,47,0,15,66,7,7,34,0,0,0.1061,"1977, 1985-1986, 1988-2006, 2009-2015, 2021-2025",,"EUR, PTE",False,False,False,False,True,False,raw_rows_found_needs_reclassification,Raw rows exist but need reclassification,,,288.5,high,12
France,13,169,0,13,0,0,161,0,8,56,19,19,13,0,0,0.3393,"2005, 2007-2018",,EUR,False,False,False,False,False,False,raw_rows_found_needs_reclassification,Raw rows exist but need reclassification,,,259.0,high,13
Poland,23,80,0,23,0,15,0,0,0,37,13,13,23,2,0,0.3514,"1991-1993, 1996-1999, 2008, 2010-2011, 2013-2025",,PLN,False,False,False,False,False,False,document_changed_or_not_comparable,Document changed / not comparable,,,258.0,high,14
Mexico,19,109,3,19,3,0,94,3,15,53,32,30,19,0,0,0.6038,"1986-1987, 2001-2003, 2006-2017, 2020-2021","2011-2012, 2017",MXN,False,False,False,False,False,False,outlier_or_unit_break,Outlier or unit/currency break,,,246.55,high,15
Spain,28,64,8,23,7,0,64,8,0,45,5,5,23,0,0,0.1111,"1991, 1994, 1997-2002, 2004-2005, 2007-2011, 2013-2018, 2021-2022","1987, 1990, 2006, 2020-2023","ESP, EUR",False,False,False,False,True,False,outlier_or_unit_break,Outlier or unit/currency break,,,214.8,high,16
Slovenia,20,29,0,20,0,0,15,0,14,75,14,8,20,5,0,0.1867,"1995-2001, 2003-2013, 2015, 2025",,"EUR, SIT",True,True,True,False,True,True,document_changed_or_not_comparable,Document changed / not comparable,"Slovenia is usable as a traceable R&D budget time series, but not as a complete ledger of all Slovenian public R&D spending. | The current panel is intentionally conservative: it keeps only audited, document-traceable observations.",Data/input/finance_bills/Slovenia/QUALITY_NOTE.md,195.0,high,17
Italy,10,56,0,10,0,0,40,0,16,97,24,13,10,7,0,0.2474,1998-2007,,"EUR, ITL",False,False,False,False,True,False,parsed_but_zero_rows,Document ran but returned zero rows,,,175.0,high,18
Luxembourg,14,33,0,14,0,0,28,0,5,50,0,0,14,0,0,0.0,"2001-2013, 2015",,EUR,False,False,False,False,False,False,raw_rows_found_needs_reclassification,Raw rows exist but need reclassification,,,124.5,moderate,19
Canada,31,0,63,0,31,0,0,63,0,290,15,7,0,0,0,0.0517,,"1987-1999, 2001, 2006-2014, 2017-2024",,False,False,False,False,False,False,outlier_or_unit_break,Outlier or unit/currency break,,,84.05,moderate,20
Estonia,11,13,0,11,0,0,13,0,0,35,9,8,11,0,0,0.2571,"1992, 1994, 2001, 2003-2010",,"EEK, EUR, RUB",False,False,False,False,True,False,general_reextract_needed,Needs targeted re-extraction,Annual state budget law PDFs | Mostly one file per year,Data/input/finance_bills/Estonia/SOURCE_NOTES.md,79.0,moderate,21
Czech Republic,10,13,0,10,0,0,13,0,0,33,3,3,10,1,0,0.0909,"1993, 1998, 2000, 2003-2004, 2009, 2017-2018, 2023, 2025",,,False,True,False,False,True,True,parsed_but_zero_rows,Document ran but returned zero rows,State budget law (`Zákon o státním rozpočtu`) | Important annex / appendix files (`Přílohy`),Data/input/finance_bills/Czech Republic/SOURCE_NOTES.md,78.0,moderate,22
Switzerland,22,0,57,0,22,0,0,57,0,57,8,7,0,0,0,0.1404,,"1983, 2003-2022, 2025",,False,False,False,False,False,False,outlier_or_unit_break,Outlier or unit/currency break,,,63.95,moderate,23
Hungary,7,7,0,7,0,0,7,0,0,35,1,1,7,1,0,0.0286,"1991, 2000, 2003-2004, 2006, 2008-2009",,HUF,False,False,True,False,True,False,parsed_but_zero_rows,Document ran but returned zero rows,"Hungary is now usable as a traced institutional series with explicit documented gaps. | The current file inventory supports a strong modern and mid-period series, but not a complete annual panel.",Data/input/finance_bills/Hungary/SOURCE_NOTES.md,54.0,moderate,24
New Zealand,7,7,0,7,0,0,7,0,0,51,2,2,6,0,1,0.0392,"1975, 1977, 1984, 1990, 1995, 2001, 2020",,,False,False,True,False,True,False,ocr_or_text_layer_problem,OCR / text-layer problem,Annual New Zealand appropriation estimates / appropriations acts. | Coverage in folder appears strong from 1975 through 2025.,Data/input/finance_bills/New Zealand/SOURCE_NOTES.md,49.0,moderate,25
Chile,6,8,0,6,0,0,8,0,0,52,25,25,6,0,0,0.4808,2001-2006,,CLP,False,False,False,False,True,False,general_reextract_needed,Needs targeted re-extraction,"Annual budget laws / decree-laws (`DL`, `LEY`) | Appears to be a long historical legal series from the mid-1970s onward",Data/input/finance_bills/Chile/SOURCE_NOTES.md,44.0,moderate,26
Japan,18,0,20,0,18,0,0,20,0,122,0,0,0,0,0,0.0,,"1976, 1979, 1994, 1996, 2001-2003, 2005-2007, 2011-2012, 2015, 2017, 2020, 2022-2023, 2025",,False,False,False,False,False,False,outlier_or_unit_break,Outlier or unit/currency break,,,43.0,moderate,27
Israel,6,4,7,4,5,0,3,7,1,53,0,0,4,0,0,0.0,"2014, 2016, 2018-2019","2010, 2012, 2014, 2016, 2018","ILP, ILS, ILS_OLD",True,True,True,False,True,False,document_changed_or_not_comparable,Document changed / not comparable,"Israel is usable as a traceable budget panel, but not as a perfectly uniform annual institutional ledger. | The audited series is intentionally conservative and is anchored in code-level manual curation.",Data/input/finance_bills/Israel/QUALITY_NOTE.md,35.95,watch,28
Finland,13,0,26,0,13,0,0,26,0,39,0,0,0,0,0,0.0,,"1987, 1989, 1992-1993, 1996-2004",,False,False,False,False,False,False,outlier_or_unit_break,Outlier or unit/currency break,,,35.1,watch,29
Belgium,5,4,1,4,1,0,4,1,0,36,11,11,4,0,0,0.3056,"2008, 2022-2024",1996,"BEF, EUR",False,False,True,False,True,False,aggregate_or_summary_only_source,Only aggregate/summary source available,Annual finance laws / federal budget law PDFs | Mostly French-titled files in the current folder,Data/input/finance_bills/Belgium/SOURCE_NOTES.md,30.35,watch,30
Korea,3,4,0,3,0,0,4,0,0,19,3,2,3,0,0,0.1579,"2018-2019, 2021",,KRW,False,True,True,True,True,True,aggregate_or_summary_only_source,Only aggregate/summary source available,"Korea is a mixed-quality source family. | The current source inventory supports a defendable final series, but not a clean institutional budget panel.",Data/input/finance_bills/Korea/SOURCE_NOTES.md,22.0,watch,31
Turkey,2,6,0,2,0,0,6,0,0,69,45,39,2,0,0,0.6522,"1983, 2000",,,False,False,False,False,False,False,general_reextract_needed,Needs targeted re-extraction,,,18.0,watch,32
Costa Rica,0,0,0,0,0,0,0,0,0,24,1,1,0,0,0,0.0417,,,CRC,True,False,False,False,True,False,stable_or_resolved,No major unresolved issue,"Costa Rica is not a stable long-run panel if ""R&D budget"" is interpreted loosely. | The original budget files change the object being measured across years.",Data/input/finance_bills/Costa Rica/QUALITY_NOTE.md,0.0,stable,33
Latvia,0,0,0,0,0,0,0,0,0,39,19,19,0,0,0,0.4872,,,"EUR, LVL, RUB",True,True,False,False,True,True,stable_or_resolved,No major unresolved issue,Annual Latvian budget laws. | The family is mixed:,Data/input/finance_bills/Latvia/SOURCE_NOTES.md,0.0,stable,34
Lithuania,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.0,,,,True,False,True,False,True,True,stable_or_resolved,No major unresolved issue,Annual Lithuanian budget-law texts and related budget annex documents. | Folder coverage appears broad from the early 1990s through 2025.,Data/input/finance_bills/Lithuania/SOURCE_NOTES.md,0.0,stable,35
