country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes,review_row_id,applied_to_combined_database
Australia,1999,NHMRC / Medical Research Fund,science_agency,156387000.0,dollar,AUD,verified_override,National Health and Medical Research Council,1999 No1 C1998A00070.docx,45.0,"accepted from llm budget review queue after original-source check; Health research line in the 1999 appropriation table shows current-year amount 156,387,000; higher adjacent figures are comparator-year values.",ccdf73ed6ae78271,True
Australia,1999,Australian Institute of Marine Science (AIMS),science_agency,16506000.0,dollar,AUD,verified_override,Australian Institute of Marine Science,1999 No1 C1998A00070.docx,55.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists Australian Institute of Marine Science total at 16,506,000 for the current year.",e77f1a1d046250e1,True
Australia,1999,ANSTO / Atomic Energy Commission,science_agency,57554000.0,dollar,AUD,verified_override,Australian Nuclear Science and Technology Organisation,1999 No1 C1998A00070.docx,55.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists ANSTO total at 57,554,000 for the current year.",0b8edeac23e5dc19,True
Australia,1999,CSIRO,science_agency,447345000.0,dollar,AUD,verified_override,Commonwealth Scientific and Industrial Research Organisation,1999 No1 C1998A00070.docx,56.0,"accepted from llm budget review queue after original-source check; Industry portfolio summary table lists CSIRO total at 447,345,000 for the current year; this replaces the partial AAHL contribution row.",202638dc41b404d4,True
Australia,2018,NHMRC / Medical Research Fund,science_agency,911108000.0,dollar,AUD,verified_override,National Health and Medical Research Council,2018 No1 C2017A00060.docx,3.0,"accepted from llm budget review queue after original-source check; 2018 appropriation summary lists NHMRC at 39,176 departmental + 871,932 administered = 911,108 total for the current year.",97c387e4212023e6,True
Australia,2019,NHMRC / Medical Research Fund,science_agency,920515000.0,dollar,AUD,verified_override,National Health and Medical Research Council,2019 No1 C2018A00050.docx,1.0,"accepted from llm budget review queue after original-source check; 2019 appropriation summary lists NHMRC at 37,762 departmental + 882,753 administered = 920,515 total for the current year.",cff38789af725ff8,True
Australia,2020,NHMRC / Medical Research Fund,science_agency,520547000.0,dollar,AUD,verified_override,National Health and Medical Research Council,2020 No1 C2019A00100.docx,78.0,"accepted from llm budget review queue after original-source check; 2020 appropriation summary lists NHMRC at 21,965 departmental + 498,582 administered = 520,547 total for the current year.",ddcff23b1d9b1c7d,True
Australia,2021,NHMRC / Medical Research Fund,science_agency,378537000.0,dollar,AUD,verified_override,National Health and Medical Research Council,2021 No1 C2020A00109.docx,58.0,"accepted from llm budget review queue after original-source check; 2021 appropriation summary lists NHMRC at 15,313 departmental + 363,224 administered = 378,537 total for the current year.",2ce194ef2cb8b9be,True
Australia,2022,NHMRC / Medical Research Fund,science_agency,915514000.0,dollar,AUD,verified_override,National Health and Medical Research Council,2022 No1 C2021A00067.docx,58.0,"accepted from llm budget review queue after original-source check; 2022 appropriation summary lists NHMRC at 37,054 departmental + 878,460 administered = 915,514 total for the current year.",2a8438a7139e04db,True
Australia,2023,Australian Institute of Marine Science (AIMS),science_agency,16733000.0,dollar,AUD,verified_override,Australian Institute of Marine Science,2023 No1 C2022A00067.docx,33.0,"accepted from llm budget review queue after original-source check; 2023 environment portfolio table shows Australian Institute of Marine Science current-year total 16,733; larger adjacent values are prior-year comparators.",bdc012c2b472321f,True
Australia,2023,Australian Research Council (ARC),science_agency,2572000.0,dollar,AUD,verified_override,Australian Research Council,2023 No1 C2022A00067.docx,49.0,"accepted from llm budget review queue after original-source check; 2023 education portfolio table shows ARC current-year total 1,795 + 777 = 2,572; larger nearby values are the prior-year comparator.",4e3d496fae22bd8c,True
Australia,2023,NHMRC / Medical Research Fund,science_agency,915514000.0,dollar,AUD,verified_override,National Health and Medical Research Council,2023 No1 C2022A00067.docx,73.0,"accepted from llm budget review queue after original-source check; 2023 appropriation summary uses the same NHMRC total carried in the current budget snapshot row; retained at 915,514,000 after source check.",438cf197eb888ff6,True
Australia,2023,ANSTO / Atomic Energy Commission,science_agency,820000.0,dollar,AUD,verified_override,Australian Nuclear Science and Technology Organisation,2023 No1 C2022A00067.docx,93.0,"accepted from llm budget review queue after original-source check; 2023 industry portfolio table shows ANSTO current-year amount 820; 279,506 is the prior-year comparator.",6b52ecd9b2b054dd,True
Australia,2023,CSIRO,science_agency,31196000.0,dollar,AUD,verified_override,Commonwealth Scientific and Industrial Research Organisation,2023 No1 C2022A00067.docx,96.0,"accepted from llm budget review queue after original-source check; 2023 industry portfolio table shows CSIRO current-year amount 31,196; 949,037 is the prior-year comparator.",3c8b220f17a28f05,True
Australia,2024,Australian Institute of Marine Science (AIMS),science_agency,99852000.0,dollar,AUD,verified_override,Australian Institute of Marine Science,2024 No1 C2023A00031.docx,32.0,"accepted from llm budget review queue after original-source check; 2024 environment portfolio table shows Australian Institute of Marine Science current-year total 99,852; 62,926 is the prior-year comparator and ARENA sits on the next row.",5e33240e91f9a235,True
Australia,2024,Australian Research Council (ARC),science_agency,34537000.0,dollar,AUD,verified_override,Australian Research Council,2024 No1 C2023A00031.docx,50.0,"accepted from llm budget review queue after original-source check; 2024 education portfolio table shows ARC current-year total 23,706 + 10,831 = 34,537.",1ed2594edc5065d0,True
Australia,2024,NHMRC / Medical Research Fund,science_agency,961379000.0,dollar,AUD,verified_override,National Health and Medical Research Council,2024 No1 C2023A00031.docx,73.0,"accepted from llm budget review queue after original-source check; 2024 appropriation summary lists NHMRC at 37,599 departmental + 923,780 administered = 961,379 total for the current year.",46a8cdd44f3d14db,True
Australia,2024,ANSTO / Atomic Energy Commission,science_agency,318527000.0,dollar,AUD,verified_override,Australian Nuclear Science and Technology Organisation,2024 No1 C2023A00031.docx,93.0,"accepted from llm budget review queue after original-source check; 2024 industry portfolio table shows ANSTO current-year amount 318,527; 233,027 is the prior-year comparator.",da9cc5298e84feb4,True
Australia,2024,CSIRO,science_agency,1008739000.0,dollar,AUD,verified_override,Commonwealth Scientific and Industrial Research Organisation,2024 No1 C2023A00031.docx,93.0,"accepted from llm budget review queue after original-source check; 2024 industry portfolio table shows CSIRO current-year amount 1,008,739; 991,134 is the prior-year comparator.",2e062011d8f31d0e,True
Australia,2025,Australian Institute of Marine Science (AIMS),science_agency,81869000.0,dollar,AUD,verified_override,Australian Institute of Marine Science,2025 No1 C2024A00047.docx,31.0,"accepted from llm budget review queue after original-source check; 2025 environment portfolio table shows Australian Institute of Marine Science current-year total 81,869; 99,852 is the prior-year comparator and ARENA sits on the next row.",53dedee214255fb1,True
Australia,2025,Australian Research Council (ARC),science_agency,1055621000.0,dollar,AUD,verified_override,Australian Research Council,2025 No1 C2024A00047.docx,49.0,"accepted from llm budget review queue after original-source check; 2025 education portfolio table shows ARC current-year total 24,293 + 1,031,328 = 1,055,621.",3410accaa30ea67d,True
Australia,2025,NHMRC / Medical Research Fund,science_agency,992310000.0,dollar,AUD,verified_override,National Health and Medical Research Council,2025 No1 C2024A00047.docx,74.0,"accepted from llm budget review queue after original-source check; 2025 appropriation summary lists NHMRC at 38,438 departmental + 953,872 administered = 992,310 total for the current year.",7001d095d0c4ddab,True
Australia,2025,ANSTO / Atomic Energy Commission,science_agency,324464000.0,dollar,AUD,verified_override,Australian Nuclear Science and Technology Organisation,2025 No1 C2024A00047.docx,95.0,"accepted from llm budget review queue after original-source check; 2025 industry portfolio table shows ANSTO current-year amount 324,464; 262,527 is the prior-year comparator.",3e4e80eba784430d,True
Australia,2025,CSIRO,science_agency,916459000.0,dollar,AUD,verified_override,Commonwealth Scientific and Industrial Research Organisation,2025 No1 C2024A00047.docx,98.0,"accepted from llm budget review queue after original-source check; 2025 industry portfolio table shows CSIRO current-year amount 916,459; 1,008,739 is the prior-year comparator.",d0b14d9911b0dbf2,True
Australia,2026,Australian Institute of Marine Science (AIMS),science_agency,51803000.0,dollar,AUD,verified_override,Australian Institute of Marine Science,2026 No1 C2025A00047.docx,27.0,"accepted from llm budget review queue after original-source check; 2026 environment portfolio table shows Australian Institute of Marine Science current-year total 51,803; 81,869 is the prior-year comparator and ARENA sits on the next row.",086273234f69d1cd,True
Australia,2026,Australian Research Council (ARC),science_agency,620763000.0,dollar,AUD,verified_override,Australian Research Council,2026 No1 C2025A00047.docx,45.0,"accepted from llm budget review queue after original-source check; 2026 education portfolio table shows ARC current-year total 14,088 + 606,675 = 620,763.",dbd910c15d82c79a,True
Australia,2026,NHMRC / Medical Research Fund,science_agency,596620000.0,dollar,AUD,verified_override,National Health and Medical Research Council,2026 No1 C2025A00047.docx,70.0,"accepted from llm budget review queue after original-source check; 2026 appropriation summary lists NHMRC at 28,937 departmental + 567,683 administered = 596,620 total for the current year.",0ec5ed88e75a17b1,True
Australia,2026,ANSTO / Atomic Energy Commission,science_agency,225589000.0,dollar,AUD,verified_override,Australian Nuclear Science and Technology Organisation,2026 No1 C2025A00047.docx,94.0,"accepted from llm budget review queue after original-source check; 2026 industry portfolio table shows ANSTO current-year amount 225,589; 324,464 is the prior-year comparator.",a95a828dc7f2ca18,True
Australia,2026,CSIRO,science_agency,587072000.0,dollar,AUD,verified_override,Commonwealth Scientific and Industrial Research Organisation,2026 No1 C2025A00047.docx,97.0,"accepted from llm budget review queue after original-source check; 2026 industry portfolio table shows CSIRO current-year amount 587,072; 916,459 is the prior-year comparator.",ad55f8d1b1c49ce0,True
