reform_id,country_code,country_name,survey_year,implementation_year,announcement_year,announcement_year_source,announcement_year_confidence,legislation_year,legislation_year_source,legislation_year_confidence,implementation_year_end,implementation_year_source,implementation_year_confidence,theme,sub_theme,secondary_type,alternative_theme,rd_actor,rd_stage,growth_orientation,growth_orientation_rationale,growth_orientation_confidence,package_name,component_name,is_component,status,status_evidence,status_confidence,is_major_reform,importance_bucket,importance_rationale,importance_confidence,description,source_quote,source_page_start,source_page_end
JPN_2002_005,JPN,Japan,2002,1998.0,,,,1998.0,explicit,high,,explicit,high,innovation,knowledge_transfer,,,public_private,commercialization,growth_supporting,"TLOs and researcher mobility facilitate commercialization of academic research, accelerating technology diffusion and creating innovation-based business opportunities.",high,Reform of State-Run Universities,Technology transfer through TLOs,True,implemented,"In 1998, TLO have been established by the law. Researchers in national universities have been allowed to work for private companies and to become business partners.",high,False,2,Significant institutional reform enabling university-industry knowledge transfer and researcher mobility. Removes barriers to commercialization of academic research and strengthens linkages between public research and private innovation.,high,"Japan established Technology Licensing Organisations (TLOs) by law in 1998 and allowed researchers in national universities to work for private companies and become business partners, facilitating technology transfer from academia to industry.","In 1998, TLO have been established by the law. Researchers in national universities have been allowed to work for private companies and to become business partners.",,
JPN_2002_006,JPN,Japan,2002,1998.0,,,,1998.0,explicit,high,,explicit,high,innovation,human_capital,,,private,applied,growth_supporting,"Direct subsidies to individuals for vocational training increase incentives for skill acquisition and human capital investment, supporting workforce adaptability and productivity growth.",high,Human Capital Formation Policy Reform,Education and training benefits system,True,implemented,"The education and training benefits system was introduced in 1998 to provide direct support to individuals who pay or have paid contributions to the employment insurance scheme. From April 1999 to October 2001, 558,719 people received subsidies.",high,False,2,"Significant policy shift from enterprise-based to individual-focused training support, addressing changing labor market dynamics and increasing demand for continuous skill development. Demonstrates measurable uptake with over 550,000 beneficiaries.",high,"Japan introduced an education and training benefits system in 1998 providing direct subsidies to individuals (80% of training costs, capped at 300,000 yen) who contribute to the employment insurance scheme, shifting policy focus from enterprise subsidies to individual support for vocational training.",The education and training benefits system was introduced in 1998 to provide direct support to individuals who pay or have paid contributions to the employment insurance scheme. The benefit covers 80 per cent of training costs with a ceiling of 300000 yen.,162.0,162.0
JPN_2002_020,JPN,Japan,2002,1998.0,,,,,,,,explicit,medium,innovation,knowledge_transfer,,,public_private,commercialization,growth_supporting,"Reforms reduce barriers to university-industry knowledge transfer and commercialisation by improving incentive structures and intellectual property arrangements, enabling faster technology diffusion and innovation.",high,University-Industry Collaboration Reform,,False,implemented,"Firms can now be up to 50 per cent co-owners of patents originating from contracted research (since 1998) with universities and will retain preferential rights for a ten year period following patent application. Since FY2000, a portion of research funds received from industry stays with the university, and contracts can now run longer than a fiscal year.",high,True,3,"Structural reform of the university-industry relationship addressing multiple barriers (IP ownership, contract duration, revenue retention) that had historically constrained collaboration. Removes systemic obstacles to knowledge transfer and commercialisation across the public research sector.",high,"Japan reformed university and national research institute (NRI) policies to improve incentives for industry collaboration: allowing universities to retain a portion of research funds from industry contracts (since FY2000), permitting contracts to run longer than a fiscal year, and enabling firms to be up to 50% co-owners of patents from contracted research (since 1998).","Since FY2000, a portion of research funds received from industry stays with the university, and contracts can now run longer than a fiscal year. Firms can now be up to 50 per cent co-owners of patents originating from contracted research (since 1998) with universities.",,
JPN_2006_024,JPN,Japan,2006,1998.0,,,,,,,,explicit,high,innovation,knowledge_transfer,,,public_private,commercialization,growth_supporting,"TLOs facilitate the commercialization of university research, enabling knowledge transfer to the private sector and supporting innovation-driven productivity growth.",high,University-Industry Linkage Reforms,Technology Licensing Offices (TLOs),True,implemented,The text states 'The government has implemented key reforms in recent years' and 'The introduction in 1998 of Technology Licensing Offices (TLOs)' with 47 TLOs established by the time of writing.,high,False,2,"A significant institutional reform that strengthened university-industry linkages and demonstrated measurable impact (patent applications increased from 691 to 4088 between 2000 and 2003), though later partially superseded by university incorporation.",high,"Japan introduced Technology Licensing Offices (TLOs) in 1998 to obtain patents for university researchers and license them to private companies. The government supports TLOs by reducing patent fees, allowing free use of national university institutes, and providing subsidies for operating costs. By 2003, patent applications from TLOs had increased from 691 in 2000 to 4088.","One of the most important reforms was the introduction in 1998 of Technology Licensing Offices (TLOs), which obtain patents for university researchers and licence them to private companies. Thus far, 47 TLOs have been established.",156.0,156.0
JPN_1999_001,JPN,Japan,1999,1999.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,private,applied,growth_supporting,"Tax credits for incremental R&D reduce the cost of innovation for firms, incentivising additional research investment and productivity improvements.",high,1999 Innovation Support Measures,R&D Tax Credit,True,implemented,"Text states 'introduced', indicating the tax credit was in force by 1999.",high,False,2,"Significant policy instrument targeting private R&D, but narrower in scope than system-wide reforms.",high,"Japan introduced a tax credit for incremental R&D expenditures by corporations, providing indirect support for private-sector research and development activities.",Tax credit for incremental R&D 29 [billion yen],168.0,168.0
JPN_1999_002,JPN,Japan,1999,1999.0,,,,1999.0,explicit,high,,inferred,medium,innovation,knowledge_transfer,startup_ecosystem,,public_private,commercialization,growth_supporting,"Clarifying and returning IP rights to researchers and private firms reduces barriers to commercialisation and spinoff creation, incentivising innovation and technology transfer. Reduced patent fees lower transaction costs for TLOs.",high,Industrial Revitalisation Law (1999),IP Rights & Knowledge Transfer,True,legislated,"Text states 'legislated' and 'decided', indicating passage into law but implementation timing not explicitly confirmed.",high,False,2,"Significant legislative reform addressing multiple aspects of knowledge transfer and commercialisation, but not a system-wide structural change.",high,"Japan legislated the Industrial Revitalisation Law (1999), which grants researchers intellectual property rights on government-sponsored research and hands back IP rights to private-sector researchers conducting work on behalf of the government. The law also reduced patent fees for Technology Licensing Organisations and included measures to assist business start-ups through credit insurance without collateral and zero-interest loans.",The government has decided to begin to hand back to private-sector researchers the intellectual property rights on research they have conducted on its behalf in order to encourage them to exploit its potential and thereby strengthen industrial competitiveness. The bill also reduced patent fees for Technology Licensing Organisations.,201.0,201.0
JPN_2000_002,JPN,Japan,2000,1999.0,1999.0,explicit,high,1999.0,explicit,high,,explicit,high,innovation,knowledge_transfer,innovation_instruments,,public_private,commercialization,growth_supporting,"Granting IP rights to researchers and private companies incentivises commercialisation of publicly funded R&D, improving knowledge transfer and innovation outcomes.",high,IP Rights Reform for Government-Sponsored R&D,100% patent rights scheme for government-sponsored R&D,False,implemented,"MITI scheme implemented across 1,111 projects in FY1999; patent law revision described as implemented.",high,False,2,"Significant reform of IP regime affecting commercialisation of government-sponsored R&D, with concrete implementation across over 1,000 projects and 256 billion yen in expenditures.",high,"Japan reformed its intellectual property regime for government-sponsored R&D to enable better commercialisation of publicly funded research. A patent law revision accorded researchers intellectual property rights on government-sponsored research. Additionally, Japan introduced a scheme granting 100 per cent patent rights to private companies for government-sponsored R&D projects, implemented by MITI across 1,111 projects in FY1999 covering 256 billion yen in expenditures.",Another scheme seeks to encourage R&D through granting 100 per cent patent rights to private companies for projects sponsored by the government. MITI has applied this principle to all the projects it has granted since the implementation of the law (1111 cases in FY1999 covering expenditures of 256 billion yen).,,
JPN_2000_004,JPN,Japan,2000,1999.0,1999.0,explicit,high,,,,,explicit,medium,innovation,innovation_instruments,,,public,basic,growth_supporting,"Improved evaluation systems and more competitive allocation of R&D funds enhance allocative efficiency and research quality, supporting productivity growth.",high,Science and Technology Basic Plan (1996-2000),Evaluation System Reform,True,announced,Mid-term review announced in April 1999 identifying needs for reform; status is announced rather than implemented.,high,False,2,"Significant governance reform addressing evaluation practices and competitive funding mechanisms, though narrower in scope than the main Basic Plan.",medium,"The mid-term review of the Science and Technology Basic Plan (April 1999) identified the need for improved evaluation systems to support more extensive use of competitive project funding schemes in R&D allocation. The review highlighted that evaluation practices were lax, with audit findings showing delays in research reporting and continued funding of underperforming projects.","The mid-term review of the Basic Plan (April 1999) pointed out that an improved evaluation system would be essential for a more extensive use of the new scheme. Indeed, evaluation in this area seems lax.",156.0,156.0
JPN_2002_004,JPN,Japan,2002,1999.0,,,,1999.0,explicit,high,,explicit,high,innovation,human_capital,,,public,applied,growth_supporting,"Professional graduate schools build specialized human capital for the private sector and knowledge economy, enhancing workforce productivity and innovation capacity.",high,Reform of State-Run Universities,Establishment of professional graduate schools,True,implemented,"Since 1999, the establishment of professional graduate schools which are specialised in two-year master courses has been allowed. Six new professional graduate schools have been set up.",high,False,2,"Significant expansion of graduate education capacity in applied fields, responding to increased demand for specialized skills and knowledge in the private sector. Addresses a gap in Japan's tertiary education system.",high,"Japan established professional graduate schools (since 1999) offering specialized two-year master courses in business management, finance, accounting, and public health, with plans to introduce one-year master courses.","Since the easing of restrictions in 1999 covering the nature of education to be offered, six new professional graduate schools have been set up and they have started providing courses such as business management, finance and accounting, and public health.",,
JPN_2002_019,JPN,Japan,2002,1999.0,,,,,,,,explicit,high,innovation,innovation_instruments,,,private,unknown,growth_supporting,"Tax incentives reduce the cost of R&D investment for firms, encouraging increased private R&D spending and innovation activity, which supports productivity growth.",high,R&D Tax Incentive Reform,,False,implemented,"Since FY1999, a modified tax incentive has been in force, which is aimed to cope with the decline of private R&D by increasing the number of applicable companies and lifting deductions.",high,False,2,A significant modification to an existing tax instrument designed to broaden eligibility and increase incentive strength in response to declining private R&D. The reform addresses a structural problem but operates within an established framework.,medium,"Japan modified its R&D tax incentive system (in force since FY1999) to increase the number of applicable companies and lift deductions, aimed at coping with the decline of private R&D spending.","Since FY1999, a modified tax incentive has been in force, which is aimed to cope with the decline of private R&D by increasing the number of applicable companies and lifting deductions.",,
JPN_1999_004,JPN,Japan,1999,2000.0,1999.0,inferred,medium,2000.0,explicit,high,,inferred,medium,innovation,startup_ecosystem,,,public_private,commercialization,growth_supporting,"Public-private venture capital funds mobilise capital for innovative startups, reducing financing constraints and supporting the commercialisation of new technologies.",high,Venture Capital Fund Programme,Venture capital fund programme,False,legislated,"Text states 'established', indicating the programme was legislated/decided but implementation timing not explicitly confirmed.",high,False,2,"Significant new instrument for startup financing with substantial capital commitment, but narrower than system-wide reforms.",high,"The government established a venture-capital fund programme in partnership with the private sector, with the Small and Medium Enterprise Agency providing 10 billion yen in capital (limited to no more than half of each fund and 1 billion yen per fund) to support promising start-up companies, with private venture-capital companies providing matching funding and management.","The government is also planning to join with the private sector to set up a series of venture-capital funds to provide cash to promising start-up companies, while private venture-capital companies are to put up half of the 20 billion yen in funding. The funds are to be set up by the Small and Medium Enterprise Agency by the end of March 2000.",201.0,201.0
JPN_2002_018,JPN,Japan,2002,2000.0,,,,,,,,inferred,medium,innovation,rd_funding,sectoral_rd,,public,applied,growth_supporting,"Targeted public R&D investment in high-growth sectors (IT, biotech, nanotechnology) and infrastructure (broadband) is intended to drive productivity gains and innovation-led growth. The Growth Project results point to a large contribution of R&D to productivity and growth.",high,National Broadband Initiative and Multi-Sector R&D Programme,"Multi-sector R&D spending allocation (IT, environment, biotechnology, nanotechnology)",True,implemented,"In FY2000, budget expenditures amounted to 3½ trillion yen and the plans are for 24 trillion to be spent over the next five years in four sectors: IT, environment, biotechnology and nanotechnology.",high,True,3,"This is a major, system-wide reform representing substantial public R&D investment across multiple strategic sectors over a five-year period. It reflects a deliberate government strategy to direct research toward high-growth areas and addresses concerns about Japan's innovation performance relative to other OECD countries.",high,"Japan announced a national broadband initiative to promote deployment of high-speed and ultra-high-speed Internet infrastructure, with plans to spend 24 trillion yen over five years across four sectors: IT, environment, biotechnology, and nanotechnology.","In FY2000, budget expenditures amounted to 3½trillion yen and the plans are for 24trillion to be spent over the next fiveyears in four sectors: IT, environment, biotechnology and nanotechnology.",,
JPN_2002_021,JPN,Japan,2002,2000.0,,,,,,,,explicit,high,innovation,human_capital,knowledge_transfer,,public_private,commercialization,growth_supporting,"Removing employment restrictions increases researcher mobility between public research institutions and private firms, facilitating knowledge transfer, entrepreneurship, and the commercialisation of research findings.",high,University-Industry Collaboration Reform,Researcher Mobility Reform,True,implemented,Civil service status meant that researchers were not allowed to take up positions in for-profit firms. Since April 2000 this provision has been relaxed for researchers from universities and the NRIs.,high,False,2,"Significant removal of a structural barrier to researcher mobility and knowledge transfer. Enables human capital flows between public and private sectors, supporting innovation and commercialisation, though implementation effectiveness depends on broader labour market conditions.",medium,"Japan relaxed civil service employment restrictions (since April 2000) that had previously prevented researchers at universities and national research institutes from taking up positions in for-profit firms, facilitating researcher mobility to the private sector.",Civil service status meant that researchers were not allowed to take up positions in for-profit firms. Since April 2000 this provision has been relaxed for researchers from universities and the NRIs.,170.0,170.0
JPN_2006_017,JPN,Japan,2006,2000.0,,,,,,,,inferred,medium,innovation,startup_ecosystem,knowledge_transfer,,public_private,commercialization,growth_supporting,"Reforms to venture capital markets, university incorporation, and tax incentives reduce barriers to entrepreneurship and technology commercialisation, enabling faster scaling of innovative firms and knowledge transfer from research to market.",high,Venture Capital and Start-up Ecosystem Reform,,False,implemented,The text states 'Some reforms have been introduced in recent years' and provides evidence of implementation: 'There have been more than 100 initial public offerings in these three markets each year since 2000' and 'The incorporation of universities in 2004 is encouraging university-business start-ups.',high,True,3,"A comprehensive, multi-faceted reform package addressing venture capital investment, stock market infrastructure, university incorporation, and tax incentives. Represents a structural transformation of Japan's start-up ecosystem and knowledge commercialisation channels.",high,"The government introduced reforms to encourage venture capital investment, including the creation of second-tier stock markets (MOTHERS in Tokyo and HERCULES in Osaka), relaxation of listing requirements in JASDAQ, incorporation of universities in 2004 to encourage university-business start-ups, expansion of preferential tax treatment for venture capital investment, and lowering of minimum capital requirements for start-ups.","Some reforms have been introduced in recent years to encourage venture capital investment. First, the financing of venture companies has been facilitated by the creation of second-tier stock markets, such as MOTHERS in Tokyo and HERCULES in Osaka, and the relaxation of listing requirements in JASDAQ. Second, the incorporation of universities in 2004 is encouraging university-business start-ups. Third, preferential tax treatment for venture capital investment has been expanded while the minimum capital requirement for start-ups has been lowered.",146.0,146.0
JPN_2006_029,JPN,Japan,2006,2000.0,,,,,,,,explicit,high,innovation,rd_funding,,,public,basic,growth_supporting,"Transparent evaluation of academic research improves allocation efficiency of public R&D funds and supports accountability, enabling better targeting of resources to productive research.",medium,University-Industry Linkage Reforms,National Institution for Academic Degrees and University Evaluation,True,implemented,"The text states 'Since the establishment of the National Institution for Academic Degrees and University Evaluation in 2000, the system has been improved by expanding capacity and improving evaluation methods.'",high,False,2,"A significant institutional reform establishing a dedicated evaluation body for academic research, with system-wide implications for research quality assurance and public R&D fund allocation, though dependent on researcher mobility for full effectiveness.",medium,"Japan established the National Institution for Academic Degrees and University Evaluation in 2000 to provide fair and transparent evaluation of academic researchers. The system has been improved by expanding capacity and improving evaluation methods, with results to be made public.","Since the establishment of the National Institution for Academic Degrees and University Evaluation in 2000, the system has been improved by expanding capacity and improving evaluation methods.",,
JPN_1999_005,JPN,Japan,1999,2001.0,1999.0,explicit,high,2001.0,explicit,high,,explicit,high,innovation,research_infrastructure,,,public,unknown,mixed,"Corporatisation of research institutions can improve operational efficiency and responsiveness to market needs, but may also reduce long-term basic research investment if autonomy is coupled with performance pressure. The net effect is ambiguous without implementation details.",medium,Research Institution Corporatisation,Corporatisation of state-run research institutions,False,legislated,"Text states 'plans to grant', indicating the reform was legislated/decided but implementation was planned for 2001 or later.",high,True,3,"Structural, system-wide reform affecting 89 state-run research institutions and the governance of public research infrastructure.",high,The government plans to grant corporate status to 89 state-run research institutions and transform them into semi-autonomous agencies as part of central administrative reorganisation.,"As part of the reorganisation of the central administrative system, the government plans to grant corporate status to 89 state-run institutions (mostly research institutions) already earmarked for change and intends to transform these institutions into semi-autonomous agencies.",,
JPN_2001_001,JPN,Japan,2001,2001.0,2001.0,explicit,high,,,,,explicit,high,innovation,sectoral_rd,rd_funding,,public,basic,growth_supporting,"Concentrating public R&D on high-priority sectors (life sciences, IT, environment, nanotechnology) and increasing overall science spending supports productivity growth and innovation capacity. Competition mechanisms in universities enhance allocative efficiency.",high,Japan Structural Reform Programme for Science and Technology (2001–2002),Science and Technology Promotion,False,announced,"Description [0] states the programme 'includes' focus on priority areas (present tense, announced); description [1] refers to FY 2002 plan as 'prioritizes' (future orientation). Most advanced status is announced.",high,True,3,Structural reform programme with system-wide reallocation of 2 trillion yen across multiple priority sectors and introduction of competition mechanisms represents a major policy shift.,high,"Japan's structural reform programme concentrates public R&D funds on four priority areas—life sciences, information technology, environment, and nanotechnology—while introducing competition mechanisms to foster world-class universities. The government's FY 2002 fiscal plan prioritizes increased spending on science and technology, lifting expenditures by 2 trillion yen as part of a broader reallocation of spending priorities.","The areas include environmental issues, coping with an ageing population, developing local facilities to fit regional needs, revitalising cities, promoting science and technology, cultivating human resources, and developing IT.",62.0,62.0
JPN_2001_002,JPN,Japan,2001,2001.0,,,,,,,,explicit,high,innovation,rd_funding,,,public,basic,growth_supporting,"Establishing a dedicated policy council to increase emphasis on basic research and improve efficiency of public R&D spending enhances the governance and allocation of research resources, supporting long-term innovation capacity.",high,Council for Science and Technology Policy (2001),Council for Science and Technology Policy establishment,False,implemented,"Text states the Council was 'established' in January 2001, indicating implementation.",high,False,2,Creation of a new institutional body for science and technology policy coordination is significant but narrower in scope than a system-wide structural reform.,high,Japan established the Council for Science and Technology Policy under the Cabinet Office in January 2001 to increase emphasis on basic research and improve efficiency of public technology spending.,Increase emphasis on basic research and improve efficiency of public technology spending. Council for Science and Technology Policy was established under the Cabinet Office in January 2001.,83.0,83.0
JPN_2001_003,JPN,Japan,2001,2001.0,,,,2001.0,explicit,high,,explicit,high,innovation,knowledge_transfer,,,private,commercialization,growth_supporting,"Strengthening the role of patent attorneys and enhancing the IP legal framework reduces transaction costs and barriers to technology commercialisation, supporting the conversion of research into market-ready innovations.",high,Patent Law Reform (2001),Patent law revision,False,implemented,"Text states Japan 'revised' its patent law, indicating the reform is in force.",high,False,1,"A targeted reform to the patent law framework is incremental and narrowly focused on IP specialist roles, not a system-wide change.",high,"Japan revised its patent law to allow patent attorneys to play a greater role as specialists in intellectual property rights, enhancing the legal framework for technology commercialisation.",Revise the patent law. Revised law for patent attorney in force since January 2001. It allows them to play a greater role as a specialist for the trade of intellectual property rights.,,
